time,perf_number,group,performance,button,server,overall
2015-04-29 17:54:52.018312,1,1,1,ButtonOff,ServerOn,Server
2015-04-29 18:11:55.343287,2,1,2,ButtonOn,ServerOn,Both
2015-04-29 18:25:14.797605,3,1,3,ButtonOff,ServerOff,Nothing
2015-04-29 18:35:30.517296,4,1,4,ButtonOn,ServerOff,Button
2015-05-01 17:53:23.576060,5,2,1,ButtonOff,ServerOff,Nothing
2015-05-01 18:20:44.864740,6,2,2,ButtonOff,ServerOn,Server
2015-05-01 18:34:23.255072,7,2,3,ButtonOn,ServerOff,Button
2015-05-01 18:46:36.859530,8,2,4,ButtonOn,ServerOn,Both
2015-05-07 18:11:26.362992,9,3,1,ButtonOn,ServerOff,Button
2015-05-07 18:25:57.558081,10,3,2,ButtonOff,ServerOff,Nothing
2015-05-07 18:37:59.149816,11,3,3,ButtonOn,ServerOn,Both
2015-05-07 18:52:39.024239,12,3,4,ButtonOff,ServerOn,Server
2015-05-08 15:28:20.560413,13,4,1,ButtonOn,ServerOn,Both
2015-05-08 15:41:15.725976,14,4,2,ButtonOn,ServerOff,Button
2015-05-08 15:53:57.501890,15,4,3,ButtonOff,ServerOn,Server
2015-05-08 16:08:10.914470,16,4,4,ButtonOff,ServerOff,Nothing
