,raw_new_ideas,button_presses,entropy,new_idea_changes,flux
2015-04-29 17:54:52.018312,17,0,4.875333730706017,13,0.4063486535436007
2015-04-29 18:11:55.343287,42,15,4.852785437374441,11,0.4406951782521074
2015-04-29 18:25:14.797605,14,0,4.825599557301258,7,0.45081132159675785
2015-04-29 18:35:30.517296,17,192,4.909824992615438,10,0.40009043649098897
2015-05-01 17:53:23.576060,28,0,4.928836685441866,11,0.4033861923701778
2015-05-01 18:20:44.864740,24,0,4.9610365970998345,13,0.4220172634217812
2015-05-01 18:34:23.255072,10,49,4.901704181681079,5,0.39458083954538675
2015-05-01 18:46:36.859530,23,611,5.002791445666502,13,0.4250883559684696
2015-05-07 18:11:26.362992,9,14,4.81820589105257,9,0.37931673573217217
2015-05-07 18:25:57.558081,14,0,4.718783007257976,8,0.38576505034703945
2015-05-07 18:37:59.149816,15,2,4.907628689327371,9,0.4448737723453906
2015-05-07 18:52:39.024239,17,0,4.848196078688983,9,0.4065834643966042
2015-05-08 15:28:20.560413,12,14,4.969663664148809,8,0.39249426187062214
2015-05-08 15:41:15.725976,22,20,4.967152047929055,12,0.4066137567268546
2015-05-08 15:53:57.501890,7,0,4.876310100630812,4,0.38597512743247
2015-05-08 16:08:10.914470,30,0,4.914636281265842,15,0.4297598886712406
