,time,variable,value
0,2015-04-29 17:54:52.018312,4,659.301509
1,2015-04-29 18:11:55.343287,4,535.62821
2,2015-04-29 18:25:14.797605,4,424.257314
3,2015-04-29 18:35:30.517296,4,547.921482
4,2015-05-01 17:53:23.576060,4,454.107255
5,2015-05-01 18:20:44.864740,4,492.991488
6,2015-05-01 18:34:23.255072,4,479.966526
7,2015-05-01 18:46:36.859530,4,549.007215
8,2015-05-07 18:11:26.362992,4,584.36969
9,2015-05-07 18:25:57.558081,4,428.000556
10,2015-05-07 18:37:59.149816,4,682.385519
11,2015-05-07 18:52:39.024239,4,489.630211
12,2015-05-08 15:28:20.560413,4,495.845906
13,2015-05-08 15:41:15.725976,4,552.839799
14,2015-05-08 15:53:57.501890,4,637.55567
15,2015-05-08 16:08:10.914470,4,524.8681
16,2015-04-29 17:54:52.018312,2,666.397226
17,2015-04-29 18:11:55.343287,2,537.663794
18,2015-04-29 18:25:14.797605,2,425.547616
19,2015-04-29 18:35:30.517296,2,546.940692
20,2015-05-01 17:53:23.576060,2,455.896748
21,2015-05-01 18:20:44.864740,2,489.706864
22,2015-05-01 18:34:23.255072,2,474.663234
23,2015-05-01 18:46:36.859530,2,546.320823
24,2015-05-07 18:11:26.362992,2,577.382001
25,2015-05-07 18:25:57.558081,2,494.545392
26,2015-05-07 18:37:59.149816,2,658.187789
27,2015-05-07 18:52:39.024239,2,502.68979
28,2015-05-08 15:28:20.560413,2,489.96588
29,2015-05-08 15:41:15.725976,2,535.744993
30,2015-05-08 15:53:57.501890,2,643.757074
31,2015-05-08 16:08:10.914470,2,532.231741
32,2015-04-29 17:54:52.018312,3,646.889452
33,2015-04-29 18:11:55.343287,3,536.653067
34,2015-04-29 18:25:14.797605,3,426.543398
35,2015-04-29 18:35:30.517296,3,546.913204
36,2015-05-01 17:53:23.576060,3,455.91827
37,2015-05-01 18:20:44.864740,3,484.783239
38,2015-05-01 18:34:23.255072,3,484.156423
39,2015-05-01 18:46:36.859530,3,544.378643
40,2015-05-07 18:11:26.362992,3,556.528621
41,2015-05-07 18:25:57.558081,3,495.234814
42,2015-05-07 18:37:59.149816,3,658.006066
43,2015-05-07 18:52:39.024239,3,488.469315
44,2015-05-08 15:28:20.560413,3,494.963856
45,2015-05-08 15:41:15.725976,3,530.432715
46,2015-05-08 15:53:57.501890,3,646.58495
47,2015-05-08 16:08:10.914470,3,527.176728
48,2015-04-29 17:54:52.018312,1,654.839416
49,2015-04-29 18:11:55.343287,1,551.710219
50,2015-04-29 18:25:14.797605,1,419.543657
51,2015-04-29 18:35:30.517296,1,547.051977
52,2015-05-01 17:53:23.576060,1,458.187169
53,2015-05-01 18:20:44.864740,1,496.128227
54,2015-05-01 18:34:23.255072,1,480.87243
55,2015-05-01 18:46:36.859530,1,553.449621
56,2015-05-07 18:11:26.362992,1,492.75488
57,2015-05-07 18:25:57.558081,1,495.231741
58,2015-05-07 18:37:59.149816,1,658.18311
59,2015-05-07 18:52:39.024239,1,494.470425
60,2015-05-08 15:28:20.560413,1,502.505539
61,2015-05-08 15:41:15.725976,1,532.628107
62,2015-05-08 15:53:57.501890,1,649.122387
63,2015-05-08 16:08:10.914470,1,522.884526
