time,B7116C0A-A6AE-48E3-AA63-81CFDD936EFA
2014-12-12T12:05:58.592939,0
2014-12-12T12:05:59.613326,0
2014-12-12T12:06:00.657334,0
2014-12-12T12:06:01.668708,0
2014-12-12T12:06:02.687602,0
2014-12-12T12:06:03.700049,0
2014-12-12T12:06:04.710869,0
2014-12-12T12:06:05.722935,0
2014-12-12T12:06:06.735103,0
2014-12-12T12:06:07.748433,0
2014-12-12T12:06:08.761937,0
2014-12-12T12:06:09.775141,0
2014-12-12T12:06:10.789630,0
2014-12-12T12:06:11.802866,0
2014-12-12T12:06:12.816827,0
2014-12-12T12:06:13.832661,0
2014-12-12T12:06:14.850317,0
2014-12-12T12:06:15.865682,0
2014-12-12T12:06:16.884888,0
2014-12-12T12:06:17.903077,0
2014-12-12T12:06:18.917617,0
2014-12-12T12:06:19.958648,2
2014-12-12T12:06:20.991641,2
2014-12-12T12:06:22.028335,2
2014-12-12T12:06:23.070654,2
2014-12-12T12:06:24.120423,2
2014-12-12T12:06:25.155472,2
2014-12-12T12:06:26.188748,2
2014-12-12T12:06:27.227749,2
2014-12-12T12:06:28.264816,2
2014-12-12T12:06:29.303497,2
2014-12-12T12:06:30.342113,2
2014-12-12T12:06:31.380572,2
2014-12-12T12:06:32.416981,2
2014-12-12T12:06:33.454359,2
2014-12-12T12:06:34.496861,2
2014-12-12T12:06:35.533178,2
2014-12-12T12:06:36.569624,2
2014-12-12T12:06:37.609977,2
2014-12-12T12:06:38.647429,2
2014-12-12T12:06:39.684364,2
2014-12-12T12:06:40.724333,2
2014-12-12T12:06:41.765650,2
2014-12-12T12:06:42.806667,2
2014-12-12T12:06:43.848779,2
2014-12-12T12:06:44.891328,2
2014-12-12T12:06:45.930826,2
2014-12-12T12:06:46.969502,2
2014-12-12T12:06:48.009011,2
2014-12-12T12:06:49.047411,2
2014-12-12T12:06:50.089963,2
2014-12-12T12:06:51.135599,2
2014-12-12T12:06:52.179820,2
2014-12-12T12:06:53.223227,2
2014-12-12T12:06:54.263172,2
2014-12-12T12:06:55.304485,2
2014-12-12T12:06:56.351616,2
2014-12-12T12:06:57.396820,2
2014-12-12T12:06:58.441261,2
2014-12-12T12:06:59.486626,2
2014-12-12T12:07:00.533044,2
2014-12-12T12:07:01.578779,2
2014-12-12T12:07:02.624370,2
2014-12-12T12:07:03.669678,2
2014-12-12T12:07:04.715568,2
2014-12-12T12:07:05.759987,2
2014-12-12T12:07:06.804941,2
2014-12-12T12:07:07.849986,2
2014-12-12T12:07:08.893503,2
2014-12-12T12:07:09.948142,2
2014-12-12T12:07:10.988641,2
2014-12-12T12:07:12.031815,2
2014-12-12T12:07:13.075142,2
2014-12-12T12:07:14.122070,2
2014-12-12T12:07:15.166260,2
2014-12-12T12:07:16.213413,0
2014-12-12T12:07:17.258206,0
2014-12-12T12:07:18.303625,0
2014-12-12T12:07:19.349987,0
2014-12-12T12:07:20.394208,0
2014-12-12T12:07:21.430736,0
2014-12-12T12:07:22.456852,0
2014-12-12T12:07:23.486745,0
2014-12-12T12:07:24.522951,0
2014-12-12T12:07:25.553834,0
2014-12-12T12:07:26.584852,0
2014-12-12T12:07:27.615306,0
2014-12-12T12:07:28.645383,0
2014-12-12T12:07:29.673949,0
2014-12-12T12:07:30.702704,0
2014-12-12T12:07:31.727920,0
2014-12-12T12:07:32.758680,0
2014-12-12T12:07:33.784706,0
2014-12-12T12:07:34.811086,0
2014-12-12T12:07:35.839855,0
2014-12-12T12:07:36.869404,0
2014-12-12T12:07:37.906179,0
2014-12-12T12:07:38.945565,0
2014-12-12T12:07:40.009889,0
2014-12-12T12:07:41.089252,4
2014-12-12T12:07:42.168837,4
2014-12-12T12:07:43.256699,8
2014-12-12T12:07:44.339866,8
2014-12-12T12:07:45.421911,0
2014-12-12T12:07:46.501453,4
2014-12-12T12:07:47.584318,4
2014-12-12T12:07:48.672697,8
2014-12-12T12:07:49.757128,8
2014-12-12T12:07:50.836994,0
2014-12-12T12:07:51.916868,4
2014-12-12T12:07:53.002106,4
2014-12-12T12:07:54.089032,8
2014-12-12T12:07:55.174924,2
2014-12-12T12:07:56.265151,0
2014-12-12T12:07:57.348666,7
2014-12-12T12:07:58.433183,8
2014-12-12T12:07:59.522230,8
2014-12-12T12:08:00.598187,0
2014-12-12T12:08:01.675678,0
2014-12-12T12:08:02.759328,7
2014-12-12T12:08:03.847369,8
2014-12-12T12:08:04.933453,8
2014-12-12T12:08:06.024297,0
2014-12-12T12:08:07.113643,4
2014-12-12T12:08:08.202083,8
2014-12-12T12:08:09.295485,8
2014-12-12T12:08:10.381886,0
2014-12-12T12:08:11.473273,2
2014-12-12T12:08:12.565042,4
2014-12-12T12:08:13.649014,4
2014-12-12T12:08:14.739134,8
2014-12-12T12:08:15.827654,2
2014-12-12T12:08:16.933058,3
2014-12-12T12:08:18.037328,8
2014-12-12T12:08:19.156934,6
2014-12-12T12:08:20.255550,2
2014-12-12T12:08:21.356270,4
2014-12-12T12:08:22.453822,4
2014-12-12T12:08:23.549644,6
2014-12-12T12:08:24.651344,8
2014-12-12T12:08:25.753399,4
2014-12-12T12:08:26.855098,4
2014-12-12T12:08:27.950406,4
2014-12-12T12:08:29.060480,6
2014-12-12T12:08:30.151363,0
2014-12-12T12:08:31.236129,4
2014-12-12T12:08:32.328654,3
2014-12-12T12:08:33.425584,6
2014-12-12T12:08:34.526565,8
2014-12-12T12:08:35.635357,4
2014-12-12T12:08:36.736378,3
2014-12-12T12:08:37.832209,3
2014-12-12T12:08:38.927642,3
2014-12-12T12:08:40.012323,3
2014-12-12T12:08:41.098704,3
2014-12-12T12:08:42.183386,4
2014-12-12T12:08:43.252642,0
2014-12-12T12:08:44.308096,0
2014-12-12T12:08:45.357440,0
2014-12-12T12:08:46.403876,0
