time,christina,charles,yvonne,jonathan
2013-08-03 18:38:11,0,0,0,0
2013-08-03 18:38:12,0,0,0,0
2013-08-03 18:38:13,0,0,0,0
2013-08-03 18:38:14,2,0,0,0
2013-08-03 18:38:15,2,5,0,0
2013-08-03 18:38:16,2,5,0,0
2013-08-03 18:38:17,0,5,2,0
2013-08-03 18:38:18,8,5,2,0
2013-08-03 18:38:19,7,5,7,0
2013-08-03 18:38:20,7,7,7,0
2013-08-03 18:38:21,7,7,7,0
2013-08-03 18:38:22,6,7,7,0
2013-08-03 18:38:23,6,7,4,2
2013-08-03 18:38:24,4,5,0,2
2013-08-03 18:38:25,4,5,7,5
2013-08-03 18:38:26,4,5,4,7
2013-08-03 18:38:27,3,5,4,7
2013-08-03 18:38:28,3,7,4,7
2013-08-03 18:38:29,4,7,4,0
2013-08-03 18:38:30,4,7,4,0
2013-08-03 18:38:31,4,7,4,2
2013-08-03 18:38:32,4,7,2,7
2013-08-03 18:38:33,4,5,2,7
2013-08-03 18:38:34,4,5,2,7
2013-08-03 18:38:35,4,5,2,7
2013-08-03 18:38:36,4,5,2,7
2013-08-03 18:38:37,4,5,2,6
2013-08-03 18:38:38,3,6,2,6
2013-08-03 18:38:39,3,6,2,6
2013-08-03 18:38:40,3,6,2,6
2013-08-03 18:38:41,3,6,3,6
2013-08-03 18:38:42,3,6,4,6
2013-08-03 18:38:43,3,5,4,6
2013-08-03 18:38:44,2,5,4,6
2013-08-03 18:38:45,2,5,4,6
2013-08-03 18:38:46,2,5,4,6
2013-08-03 18:38:47,2,5,2,6
2013-08-03 18:38:48,2,5,2,7
2013-08-03 18:38:49,2,5,2,7
2013-08-03 18:38:50,2,5,2,7
2013-08-03 18:38:51,2,7,3,7
2013-08-03 18:38:52,2,6,4,7
2013-08-03 18:38:53,2,6,4,4
2013-08-03 18:38:54,2,6,4,4
2013-08-03 18:38:55,2,6,4,4
2013-08-03 18:38:56,2,6,4,6
2013-08-03 18:38:57,2,7,4,4
2013-08-03 18:38:58,2,7,4,4
2013-08-03 18:38:59,2,7,4,4
2013-08-03 18:39:00,2,7,4,4
2013-08-03 18:39:01,2,7,4,2
2013-08-03 18:39:02,2,7,4,2
2013-08-03 18:39:03,2,7,4,1
2013-08-03 18:39:04,2,7,4,3
2013-08-03 18:39:05,2,7,4,4
2013-08-03 18:39:06,2,7,4,4
2013-08-03 18:39:07,2,6,3,4
2013-08-03 18:39:08,2,4,3,4
2013-08-03 18:39:09,2,4,3,4
2013-08-03 18:39:10,0,4,3,4
2013-08-03 18:39:11,0,4,3,4
2013-08-03 18:39:12,0,4,3,4
2013-08-03 18:39:13,0,6,8,4
2013-08-03 18:39:14,4,6,8,4
2013-08-03 18:39:15,4,6,8,4
2013-08-03 18:39:16,4,6,8,4
2013-08-03 18:39:17,4,6,4,4
2013-08-03 18:39:18,4,6,4,4
2013-08-03 18:39:19,4,6,4,4
2013-08-03 18:39:20,4,6,4,4
2013-08-03 18:39:21,4,4,4,6
2013-08-03 18:39:22,4,4,4,6
2013-08-03 18:39:23,4,6,4,6
2013-08-03 18:39:24,3,6,4,6
2013-08-03 18:39:25,2,6,4,4
2013-08-03 18:39:26,2,7,4,4
2013-08-03 18:39:27,2,7,4,4
2013-08-03 18:39:28,2,3,8,4
2013-08-03 18:39:29,2,2,8,4
2013-08-03 18:39:30,2,2,8,4
2013-08-03 18:39:31,2,2,8,4
2013-08-03 18:39:32,2,1,8,4
2013-08-03 18:39:33,2,3,4,4
2013-08-03 18:39:34,2,3,4,4
2013-08-03 18:39:35,2,3,4,4
2013-08-03 18:39:36,2,3,3,4
2013-08-03 18:39:37,2,3,4,4
