2013-08-01T22:56:06.398535, /metatone/online, charles
2013-08-01T22:56:10.054182, touch, charles, 787.0, 342.5, 0.0
2013-08-01T22:56:10.141674, touch, charles, 781.0, 338.0, 7.5
2013-08-01T22:56:10.149076, touch, charles, 776.5, 336.5, 4.7434163093566895
2013-08-01T22:56:10.164776, touch, charles, 771.5, 333.0, 6.103277683258057
2013-08-01T22:56:10.183815, touch, charles, 766.5, 331.0, 5.385164737701416
2013-08-01T22:56:10.190853, touch, charles, 760.5, 327.5, 6.946221828460693
2013-08-01T22:56:10.207213, touch, charles, 755.5, 324.5, 5.830951690673828
2013-08-01T22:56:10.233229, touch, charles, 749.5, 320.5, 7.211102485656738
2013-08-01T22:56:10.244497, touch, charles, 743.5, 316.5, 7.211102485656738
2013-08-01T22:56:10.257962, touch, charles, 738.5, 313.0, 6.103277683258057
2013-08-01T22:56:10.277076, touch, charles, 732.5, 309.5, 6.946221828460693
2013-08-01T22:56:10.300978, touch, charles, 727.5, 306.5, 5.830951690673828
2013-08-01T22:56:10.310563, touch, charles, 722.5, 304.0, 5.590169906616211
2013-08-01T22:56:10.329851, touch, charles, 719.0, 302.0, 4.031128883361816
2013-08-01T22:56:10.345597, touch, charles, 715.5, 300.5, 3.8078866004943848
2013-08-01T22:56:10.359917, touch, charles, 712.5, 299.0, 3.3541018962860107
2013-08-01T22:56:10.374146, touch, charles, 710.0, 298.0, 2.692582368850708
2013-08-01T22:56:10.389925, touch, charles, 707.5, 298.0, 2.5
2013-08-01T22:56:10.412765, touch, charles, 706.0, 298.0, 1.5
2013-08-01T22:56:10.423903, touch, charles, 704.5, 298.0, 1.5
2013-08-01T22:56:10.443808, touch, charles, 703.0, 298.0, 1.5
2013-08-01T22:56:10.458131, touch, charles, 701.0, 298.0, 2.0
2013-08-01T22:56:10.481980, touch, charles, 699.5, 298.0, 1.5
2013-08-01T22:56:10.491169, touch, charles, 697.5, 298.0, 2.0
2013-08-01T22:56:10.508347, touch, charles, 696.0, 298.0, 1.5
2013-08-01T22:56:10.528211, touch, charles, 694.5, 298.0, 1.5
