2013-08-02T15:10:45.858380, touch, charles, 295.5, 403.0, 6.020797252655029
2013-08-02T15:10:45.858780, touch/ended, charles
2013-08-02T15:10:45.860260, touch, charles, 421.5, 457.0, 0.0
2013-08-02T15:10:45.860437, touch, charles, 426.5, 455.5, 5.220153331756592
2013-08-02T15:10:45.860614, touch, charles, 429.5, 455.5, 3.0
2013-08-02T15:10:45.860792, touch, charles, 431.5, 454.5, 2.2360680103302
2013-08-02T15:10:45.860911, touch, charles, 432.0, 453.5, 1.1180340051651
2013-08-02T15:10:45.861088, touch, charles, 434.0, 451.5, 2.8284270763397217
2013-08-02T15:10:45.861204, touch/ended, charles
2013-08-02T15:10:45.862484, touch, charles, 453.5, 344.0, 0.0
2013-08-02T15:10:45.955817, touch/ended, charles
2013-08-02T15:10:46.307647, /metatone/online, charles
2013-08-02T15:10:46.330318, /metatone/online, yvonne
2013-08-02T15:10:46.449836, touch, charles, 443.5, 380.5, 0.0
2013-08-02T15:10:46.518387, touch/ended, charles
2013-08-02T15:10:49.265293, touch, yvonne, 339.0, 277.0, 0.0
2013-08-02T15:10:49.267309, touch, yvonne, 355.0, 261.0, 22.627416610717773
2013-08-02T15:10:49.269942, touch, yvonne, 377.5, 252.5, 24.052026748657227
2013-08-02T15:10:49.287078, touch, yvonne, 406.0, 247.5, 28.935272216796875
2013-08-02T15:10:49.308480, touch, yvonne, 433.0, 244.0, 27.225906372070312
2013-08-02T15:10:49.318890, touch, yvonne, 454.5, 244.0, 21.5
2013-08-02T15:10:49.332937, touch, yvonne, 474.0, 244.0, 19.5
2013-08-02T15:10:49.364763, touch, yvonne, 488.0, 244.5, 14.008925437927246
2013-08-02T15:10:49.367033, touch, yvonne, 499.5, 248.0, 12.020814895629883
2013-08-02T15:10:49.384407, touch, yvonne, 509.5, 252.5, 10.965856552124023
2013-08-02T15:10:49.404107, touch, yvonne, 517.0, 257.5, 9.013877868652344
2013-08-02T15:10:49.423542, touch, yvonne, 523.5, 264.0, 9.192388534545898
2013-08-02T15:10:49.432925, touch, yvonne, 528.0, 271.0, 8.32165813446045
2013-08-02T15:10:49.448533, touch, yvonne, 531.0, 276.5, 6.264982223510742
2013-08-02T15:10:49.473070, touch, yvonne, 532.5, 283.5, 7.158910751342773
2013-08-02T15:10:49.483727, touch, yvonne, 532.5, 291.0, 7.5
2013-08-02T15:10:49.502803, touch, yvonne, 532.5, 297.5, 6.5
2013-08-02T15:10:49.520663, touch, yvonne, 532.0, 303.0, 5.522680282592773
2013-08-02T15:10:49.545008, touch, yvonne, 527.0, 308.0, 7.071067810058594
2013-08-02T15:10:49.548042, touch, yvonne, 522.0, 312.0, 6.4031243324279785
2013-08-02T15:10:49.569635, touch, yvonne, 512.5, 315.5, 10.124228477478027
2013-08-02T15:10:49.590778, touch, yvonne, 501.0, 320.0, 12.349088668823242
2013-08-02T15:10:49.604464, touch, yvonne, 485.5, 324.0, 16.007810592651367
2013-08-02T15:10:49.617495, touch, yvonne, 468.0, 328.0, 17.951322555541992
2013-08-02T15:10:49.637821, touch, yvonne, 451.0, 332.5, 17.58550453186035
2013-08-02T15:10:49.672896, touch, yvonne, 437.0, 338.5, 15.231546401977539
2013-08-02T15:10:49.673117, touch, yvonne, 426.5, 345.5, 12.619429588317871
2013-08-02T15:10:49.684727, touch, yvonne, 417.0, 351.5, 11.236102104187012
2013-08-02T15:10:49.706844, touch, yvonne, 409.0, 359.5, 11.313708305358887
2013-08-02T15:10:49.719075, touch, yvonne, 403.0, 368.0, 10.404326438903809
2013-08-02T15:10:49.733130, touch, yvonne, 400.0, 375.5, 8.077747344970703
2013-08-02T15:10:49.750568, touch, yvonne, 398.5, 382.5, 7.158910751342773
2013-08-02T15:10:49.775052, touch, yvonne, 398.5, 391.0, 8.5
2013-08-02T15:10:49.783832, touch, yvonne, 398.5, 398.5, 7.5
2013-08-02T15:10:49.798940, touch, yvonne, 402.0, 405.5, 7.82623815536499
2013-08-02T15:10:49.823089, touch, yvonne, 407.0, 412.0, 8.200610160827637
2013-08-02T15:10:49.839949, touch, yvonne, 413.5, 419.5, 9.92471694946289
2013-08-02T15:10:49.850150, touch, yvonne, 421.0, 425.0, 9.300538063049316
2013-08-02T15:10:49.867440, touch, yvonne, 429.5, 430.5, 10.124228477478027
2013-08-02T15:10:49.890223, touch, yvonne, 438.0, 434.5, 9.394146919250488
2013-08-02T15:10:49.901384, touch, yvonne, 448.5, 438.5, 11.236102104187012
2013-08-02T15:10:49.916701, touch, yvonne, 460.5, 441.5, 12.369317054748535
2013-08-02T15:10:49.941361, touch, yvonne, 473.0, 444.0, 12.747549057006836
2013-08-02T15:10:49.960555, touch, yvonne, 486.0, 445.5, 13.086252212524414
2013-08-02T15:10:49.970429, touch, yvonne, 499.5, 446.5, 13.536986351013184
2013-08-02T15:10:49.985738, touch, yvonne, 512.0, 447.0, 12.50999641418457
2013-08-02T15:10:50.003771, touch, yvonne, 524.0, 447.0, 12.0
2013-08-02T15:10:50.023069, touch, yvonne, 533.0, 447.0, 9.0
2013-08-02T15:10:50.033398, touch, yvonne, 542.5, 446.5, 9.51314926147461
2013-08-02T15:10:50.055904, touch, yvonne, 551.0, 444.0, 8.86002254486084
2013-08-02T15:10:50.074044, touch, yvonne, 556.5, 441.5, 6.041522979736328
2013-08-02T15:10:50.083714, touch, yvonne, 560.5, 439.0, 4.7169904708862305
2013-08-02T15:10:50.098538, touch, yvonne, 563.0, 437.0, 3.2015621662139893
2013-08-02T15:10:50.124474, touch, yvonne, 564.0, 435.0, 2.2360680103302
2013-08-02T15:10:50.133199, touch, yvonne, 564.0, 432.5, 2.5
2013-08-02T15:10:50.149951, touch, yvonne, 564.0, 429.5, 3.0
2013-08-02T15:10:50.169652, touch, yvonne, 562.0, 424.5, 5.385164737701416
