2013-08-03T11:47:44.732610, touch, christina, 832.0, 223.0, 0.0
2013-08-03T11:47:44.737375, touch, christina, 820.5, 213.0, 15.239750862121582
2013-08-03T11:47:44.749020, touch, christina, 804.0, 204.0, 18.794946670532227
2013-08-03T11:47:44.766146, touch, christina, 788.5, 200.5, 15.89024829864502
2013-08-03T11:47:44.785482, touch, christina, 772.5, 199.0, 16.070158004760742
2013-08-03T11:47:44.802250, touch, christina, 752.5, 198.5, 20.006248474121094
2013-08-03T11:47:44.816790, touch, christina, 731.5, 198.5, 21.0
2013-08-03T11:47:44.834225, touch, christina, 710.0, 198.5, 21.5
2013-08-03T11:47:44.854422, touch, christina, 686.0, 203.5, 24.515300750732422
2013-08-03T11:47:44.866425, touch, christina, 663.0, 207.5, 23.34523582458496
2013-08-03T11:47:44.886860, touch, christina, 644.0, 212.0, 19.525623321533203
2013-08-03T11:47:44.903993, touch, christina, 626.0, 215.5, 18.337120056152344
2013-08-03T11:47:44.923435, touch, christina, 613.0, 218.0, 13.238202095031738
2013-08-03T11:47:44.936324, touch, christina, 601.5, 221.5, 12.020814895629883
2013-08-03T11:47:44.950256, touch, christina, 593.0, 224.0, 8.86002254486084
2013-08-03T11:47:44.970357, touch, christina, 585.5, 226.5, 7.905694007873535
2013-08-03T11:47:44.986505, touch, christina, 578.5, 228.5, 7.280109882354736
2013-08-03T11:47:45.003288, touch, christina, 573.0, 230.0, 5.7008771896362305
2013-08-03T11:47:45.015772, touch, christina, 568.5, 232.5, 5.147815227508545
2013-08-03T11:47:45.039648, touch, christina, 564.0, 236.0, 5.7008771896362305
2013-08-03T11:47:45.049604, touch, christina, 559.5, 240.5, 6.363961219787598
2013-08-03T11:47:45.068009, touch, christina, 555.5, 246.0, 6.8007354736328125
2013-08-03T11:47:45.089203, touch, christina, 553.0, 250.5, 5.147815227508545
2013-08-03T11:47:45.099164, touch, christina, 550.5, 255.5, 5.590169906616211
2013-08-03T11:47:45.117200, touch, christina, 549.0, 262.0, 6.67083215713501
2013-08-03T11:47:45.132457, touch, christina, 548.0, 269.0, 7.071067810058594
2013-08-03T11:47:45.157608, touch, christina, 548.0, 276.5, 7.5
2013-08-03T11:47:45.166750, touch, christina, 548.0, 284.5, 8.0
2013-08-03T11:47:45.181991, touch, christina, 548.0, 293.5, 9.0
2013-08-03T11:47:45.201724, touch, christina, 549.0, 302.5, 9.05538558959961
2013-08-03T11:47:45.217915, touch, christina, 550.5, 311.5, 9.124143600463867
2013-08-03T11:47:45.233123, touch, christina, 550.5, 320.5, 9.0
2013-08-03T11:47:45.247073, touch, christina, 551.0, 330.0, 9.51314926147461
2013-08-03T11:47:45.271782, touch, christina, 551.0, 339.0, 9.0
2013-08-03T11:47:45.282809, touch, christina, 551.0, 348.0, 9.0
2013-08-03T11:47:45.298632, touch, christina, 551.0, 356.5, 8.5
2013-08-03T11:47:45.316565, touch, christina, 548.0, 364.5, 8.5440034866333
2013-08-03T11:47:45.332826, touch, christina, 545.5, 371.5, 7.433034420013428
2013-08-03T11:47:45.351819, touch, christina, 542.5, 376.5, 5.830951690673828
2013-08-03T11:47:45.365460, touch, christina, 539.5, 381.0, 5.408327102661133
2013-08-03T11:47:45.388019, touch, christina, 536.5, 384.0, 4.242640495300293
2013-08-03T11:47:45.398276, touch, christina, 533.5, 386.5, 3.9051249027252197
2013-08-03T11:47:45.415465, touch, christina, 529.5, 388.5, 4.4721360206604
2013-08-03T11:47:45.433311, touch, christina, 525.0, 389.5, 4.609772205352783
2013-08-03T11:47:45.449410, touch, christina, 521.5, 390.5, 3.640054941177368
2013-08-03T11:47:45.466679, touch, christina, 516.0, 390.5, 5.5
2013-08-03T11:47:45.480276, touch, christina, 510.0, 390.5, 6.0
2013-08-03T11:47:45.513675, touch, christina, 504.5, 390.5, 5.5
2013-08-03T11:47:45.521026, touch, christina, 497.5, 390.5, 7.0
2013-08-03T11:47:45.532035, touch, christina, 491.0, 390.5, 6.5
2013-08-03T11:47:45.553175, touch, christina, 484.5, 390.5, 6.5
2013-08-03T11:47:45.576884, touch, christina, 477.5, 390.5, 7.0
2013-08-03T11:47:45.581637, touch, christina, 471.0, 390.0, 6.51920223236084
2013-08-03T11:47:45.604413, touch, christina, 465.5, 388.0, 5.852349758148193
2013-08-03T11:47:45.619405, touch, christina, 460.5, 385.5, 5.590169906616211
2013-08-03T11:47:45.639734, touch, christina, 456.0, 382.5, 5.408327102661133
