time,charles,christina,yvonne,jonathan
2013-04-27 17:46:15,0,0,2,0
2013-04-27 17:46:20,2,5,3,0
2013-04-27 17:46:25,2,5,4,0
2013-04-27 17:46:30,2,5,4,0
2013-04-27 17:46:35,2,5,5,0
2013-04-27 17:46:40,2,5,4,1
2013-04-27 17:46:45,2,3,4,1
2013-04-27 17:46:50,0,3,4,2
2013-04-27 17:46:55,2,8,4,2
2013-04-27 17:47:00,7,5,2,0
2013-04-27 17:47:05,2,4,4,2
2013-04-27 17:47:10,2,4,4,0
2013-04-27 17:47:15,2,5,4,0
2013-04-27 17:47:20,2,8,4,2
2013-04-27 17:47:25,2,8,4,2
2013-04-27 17:47:30,2,5,4,5
2013-04-27 17:47:35,2,8,4,5
2013-04-27 17:47:40,2,5,4,5
2013-04-27 17:47:45,2,2,4,1
2013-04-27 17:47:50,2,2,4,0
2013-04-27 17:47:55,2,2,4,1
2013-04-27 17:48:00,2,2,4,0
2013-04-27 17:48:05,2,2,4,0
2013-04-27 17:48:10,2,2,1,0
2013-04-27 17:48:15,2,4,1,0
2013-04-27 17:48:20,2,1,4,0
2013-04-27 17:48:25,2,1,1,1
2013-04-27 17:48:30,1,1,1,0
2013-04-27 17:48:35,1,1,1,0
2013-04-27 17:48:40,2,1,1,0
2013-04-27 17:48:45,2,1,1,1
2013-04-27 17:48:50,2,1,1,2
2013-04-27 17:48:55,2,1,1,2
2013-04-27 17:49:00,2,2,1,2
2013-04-27 17:49:05,2,2,1,2
2013-04-27 17:49:10,2,2,1,2
2013-04-27 17:49:15,7,2,2,2
2013-04-27 17:49:20,8,2,2,2
2013-04-27 17:49:25,8,2,2,2
2013-04-27 17:49:30,8,2,1,2
2013-04-27 17:49:35,8,2,1,2
2013-04-27 17:49:40,8,2,1,1
2013-04-27 17:49:45,8,1,1,1
2013-04-27 17:49:50,8,1,1,1
2013-04-27 17:49:55,8,1,1,1
2013-04-27 17:50:00,8,1,1,1
2013-04-27 17:50:05,8,1,1,1
2013-04-27 17:50:10,6,1,1,7
2013-04-27 17:50:15,6,0,1,7
2013-04-27 17:50:20,7,0,1,6
2013-04-27 17:50:25,0,0,1,6
2013-04-27 17:50:30,0,0,1,6
2013-04-27 17:50:35,0,0,1,6
2013-04-27 17:50:40,0,0,2,6
2013-04-27 17:50:45,5,0,2,6
2013-04-27 17:50:50,5,0,2,6
2013-04-27 17:50:55,5,5,2,6
2013-04-27 17:51:00,5,1,2,6
2013-04-27 17:51:05,5,0,0,6
2013-04-27 17:51:10,5,0,0,6
2013-04-27 17:51:15,5,0,2,7
2013-04-27 17:51:20,5,0,2,6
2013-04-27 17:51:25,5,0,2,6
2013-04-27 17:51:30,5,5,2,6
2013-04-27 17:51:35,5,4,4,6
2013-04-27 17:51:40,5,5,4,6
2013-04-27 17:51:45,6,4,4,6
2013-04-27 17:51:50,5,4,4,6
2013-04-27 17:51:55,7,3,5,6
2013-04-27 17:52:00,5,4,4,6
2013-04-27 17:52:05,5,4,4,6
2013-04-27 17:52:10,5,4,3,6
2013-04-27 17:52:15,5,3,3,6
2013-04-27 17:52:20,5,3,3,6
2013-04-27 17:52:25,5,3,3,6
2013-04-27 17:52:30,5,3,4,6
2013-04-27 17:52:35,5,3,4,6
2013-04-27 17:52:40,7,3,4,6
2013-04-27 17:52:45,7,3,3,6
2013-04-27 17:52:50,7,3,4,7
2013-04-27 17:52:55,7,3,4,5
2013-04-27 17:53:00,7,0,5,2
2013-04-27 17:53:05,7,4,4,2
2013-04-27 17:53:10,7,0,3,2
2013-04-27 17:53:15,3,3,4,2
2013-04-27 17:53:20,3,3,4,1
2013-04-27 17:53:25,3,3,3,2
2013-04-27 17:53:30,3,3,3,1
2013-04-27 17:53:35,3,3,4,3
2013-04-27 17:53:40,2,3,1,3
2013-04-27 17:53:45,2,0,1,3
2013-04-27 17:53:50,3,3,1,3
2013-04-27 17:53:55,3,3,1,3
2013-04-27 17:54:00,3,5,1,3
2013-04-27 17:54:05,3,5,1,3
2013-04-27 17:54:10,3,5,1,1
2013-04-27 17:54:15,3,5,0,4
2013-04-27 17:54:20,3,5,1,1
2013-04-27 17:54:25,3,2,1,2
2013-04-27 17:54:30,3,2,0,2
2013-04-27 17:54:35,1,2,1,2
2013-04-27 17:54:40,5,5,1,4
2013-04-27 17:54:45,5,4,0,2
2013-04-27 17:54:50,5,4,1,7
2013-04-27 17:54:55,7,5,0,5
2013-04-27 17:55:00,1,4,1,5
2013-04-27 17:55:05,1,0,1,5
2013-04-27 17:55:10,1,5,1,5
2013-04-27 17:55:15,1,5,0,5
2013-04-27 17:55:20,1,8,1,5
2013-04-27 17:55:25,1,4,0,7
2013-04-27 17:55:30,1,4,5,6
2013-04-27 17:55:35,9,0,4,9
2013-04-27 17:55:40,1,0,1,5
2013-04-27 17:55:45,1,0,1,5
2013-04-27 17:55:50,1,2,0,4
2013-04-27 17:55:55,1,2,5,3
2013-04-27 17:56:00,1,3,1,3
2013-04-27 17:56:05,0,7,1,3
2013-04-27 17:56:10,5,7,1,2
2013-04-27 17:56:15,5,8,4,2
2013-04-27 17:56:20,5,1,0,2
2013-04-27 17:56:25,5,1,0,2
2013-04-27 17:56:30,7,1,0,1
2013-04-27 17:56:35,7,1,0,1
2013-04-27 17:56:40,7,1,1,7
2013-04-27 17:56:45,7,2,0,1
2013-04-27 17:56:50,7,2,0,7
2013-04-27 17:56:55,7,2,2,7
2013-04-27 17:57:00,7,2,0,3
2013-04-27 17:57:05,7,2,2,3
2013-04-27 17:57:10,0,2,0,2
2013-04-27 17:57:15,1,2,0,2
2013-04-27 17:57:20,1,2,0,8
2013-04-27 17:57:25,1,0,2,8
2013-04-27 17:57:30,1,2,2,8
2013-04-27 17:57:35,1,2,0,8
2013-04-27 17:57:40,1,2,2,8
2013-04-27 17:57:45,1,2,2,8
2013-04-27 17:57:50,1,2,2,8
2013-04-27 17:57:55,1,2,0,8
2013-04-27 17:58:00,1,0,0,8
2013-04-27 17:58:05,1,1,0,8
2013-04-27 17:58:10,1,2,1,2
2013-04-27 17:58:15,0,1,1,2
2013-04-27 17:58:20,0,0,1,1
2013-04-27 17:58:25,0,1,1,1
2013-04-27 17:58:30,0,0,1,1
2013-04-27 17:58:35,0,0,1,1
