time,christina,jonathan,charles
2013-04-20 14:58:50,2,0,0
2013-04-20 14:58:55,0,2,0
2013-04-20 14:59:00,0,0,0
2013-04-20 14:59:05,0,0,8
2013-04-20 14:59:10,0,0,5
2013-04-20 14:59:15,0,2,5
2013-04-20 14:59:20,4,5,7
2013-04-20 14:59:25,4,5,7
2013-04-20 14:59:30,4,2,7
2013-04-20 14:59:35,0,2,4
2013-04-20 14:59:40,0,2,4
2013-04-20 14:59:45,0,0,8
2013-04-20 14:59:50,4,2,4
2013-04-20 14:59:55,4,2,4
2013-04-20 15:00:00,0,2,8
2013-04-20 15:00:05,6,2,8
2013-04-20 15:00:10,6,2,8
2013-04-20 15:00:15,6,2,8
2013-04-20 15:00:20,6,4,8
2013-04-20 15:00:25,8,2,8
2013-04-20 15:00:30,2,0,8
2013-04-20 15:00:35,2,2,8
2013-04-20 15:00:40,2,2,8
2013-04-20 15:00:45,8,2,8
2013-04-20 15:00:50,8,2,8
2013-04-20 15:00:55,2,2,8
2013-04-20 15:01:00,0,2,8
2013-04-20 15:01:05,4,2,8
2013-04-20 15:01:10,2,2,8
2013-04-20 15:01:15,0,2,8
2013-04-20 15:01:20,1,2,8
2013-04-20 15:01:25,2,0,5
2013-04-20 15:01:30,1,2,2
2013-04-20 15:01:35,1,2,1
2013-04-20 15:01:40,1,2,1
2013-04-20 15:01:45,1,0,2
2013-04-20 15:01:50,1,0,1
2013-04-20 15:01:55,1,2,1
2013-04-20 15:02:00,6,2,1
2013-04-20 15:02:05,6,2,7
2013-04-20 15:02:10,6,7,7
2013-04-20 15:02:15,6,0,7
2013-04-20 15:02:20,4,4,7
2013-04-20 15:02:25,7,4,7
2013-04-20 15:02:30,6,0,7
2013-04-20 15:02:35,2,4,6
2013-04-20 15:02:40,2,4,5
2013-04-20 15:02:45,2,2,7
2013-04-20 15:02:50,0,2,5
2013-04-20 15:02:55,2,0,7
2013-04-20 15:03:00,0,0,4
2013-04-20 15:03:05,6,2,7
2013-04-20 15:03:10,8,0,7
2013-04-20 15:03:15,7,0,6
2013-04-20 15:03:20,7,2,6
2013-04-20 15:03:25,0,0,6
2013-04-20 15:03:30,4,2,7
2013-04-20 15:03:35,2,0,7
2013-04-20 15:03:40,4,3,6
2013-04-20 15:03:45,0,2,6
2013-04-20 15:03:50,4,0,7
2013-04-20 15:03:55,2,0,0
2013-04-20 15:04:00,0,0,3
2013-04-20 15:04:05,2,0,3
2013-04-20 15:04:10,0,0,0
2013-04-20 15:04:15,4,0,0
2013-04-20 15:04:20,7,2,7
2013-04-20 15:04:25,0,2,7
2013-04-20 15:04:30,0,4,7
2013-04-20 15:04:35,0,2,4
2013-04-20 15:04:40,2,0,5
2013-04-20 15:04:45,1,0,4
2013-04-20 15:04:50,1,0,4
2013-04-20 15:04:55,1,0,0
2013-04-20 15:05:00,1,0,2
2013-04-20 15:05:05,1,0,2
2013-04-20 15:05:10,1,0,2
2013-04-20 15:05:15,1,0,2
2013-04-20 15:05:20,7,0,0
2013-04-20 15:05:25,1,0,0
2013-04-20 15:05:30,2,0,2
2013-04-20 15:05:35,0,0,2
2013-04-20 15:05:40,0,5,2
2013-04-20 15:05:45,0,2,2
2013-04-20 15:05:50,0,2,2
2013-04-20 15:05:55,0,2,0
2013-04-20 15:06:00,0,2,5
2013-04-20 15:06:05,0,2,2
2013-04-20 15:06:10,0,2,5
2013-04-20 15:06:15,0,0,5
2013-04-20 15:06:20,2,4,5
2013-04-20 15:06:25,2,2,5
2013-04-20 15:06:30,2,2,5
2013-04-20 15:06:35,2,2,5
2013-04-20 15:06:40,2,2,5
2013-04-20 15:06:45,2,5,5
2013-04-20 15:06:50,2,7,5
2013-04-20 15:06:55,2,5,5
2013-04-20 15:07:00,5,7,5
2013-04-20 15:07:05,2,7,5
2013-04-20 15:07:10,2,7,5
2013-04-20 15:07:15,5,7,5
2013-04-20 15:07:20,5,6,5
2013-04-20 15:07:25,5,8,5
2013-04-20 15:07:30,2,7,5
2013-04-20 15:07:35,2,6,5
2013-04-20 15:07:40,2,7,5
2013-04-20 15:07:45,5,7,5
2013-04-20 15:07:50,5,6,5
2013-04-20 15:07:55,5,6,5
2013-04-20 15:08:00,5,6,5
2013-04-20 15:08:05,5,6,5
2013-04-20 15:08:10,5,6,5
2013-04-20 15:08:15,7,6,5
2013-04-20 15:08:20,6,6,5
2013-04-20 15:08:25,6,7,5
2013-04-20 15:08:30,8,2,5
2013-04-20 15:08:35,2,5,5
2013-04-20 15:08:40,2,5,5
2013-04-20 15:08:45,2,5,5
2013-04-20 15:08:50,2,5,7
2013-04-20 15:08:55,2,5,7
2013-04-20 15:09:00,2,5,8
2013-04-20 15:09:05,0,5,8
2013-04-20 15:09:10,2,5,5
2013-04-20 15:09:15,0,5,2
2013-04-20 15:09:20,2,5,2
2013-04-20 15:09:25,2,5,2
2013-04-20 15:09:30,0,5,2
2013-04-20 15:09:35,2,5,0
2013-04-20 15:09:40,0,5,0
2013-04-20 15:09:45,0,5,2
2013-04-20 15:09:50,2,5,2
2013-04-20 15:09:55,2,5,2
2013-04-20 15:10:00,0,2,2
2013-04-20 15:10:05,0,2,7
2013-04-20 15:10:10,2,2,7
2013-04-20 15:10:15,2,2,5
2013-04-20 15:10:20,0,2,7
2013-04-20 15:10:25,2,5,5
2013-04-20 15:10:30,2,0,5
2013-04-20 15:10:35,0,2,5
2013-04-20 15:10:40,2,2,5
2013-04-20 15:10:45,2,2,5
2013-04-20 15:10:50,0,2,5
2013-04-20 15:10:55,5,2,5
2013-04-20 15:11:00,6,2,0
2013-04-20 15:11:05,5,2,2
2013-04-20 15:11:10,5,0,0
2013-04-20 15:11:15,0,0,1
2013-04-20 15:11:20,0,0,1
2013-04-20 15:11:25,0,0,2
2013-04-20 15:11:30,2,0,2
2013-04-20 15:11:35,2,5,5
2013-04-20 15:11:40,2,5,5
2013-04-20 15:11:45,2,5,5
2013-04-20 15:11:50,2,2,5
2013-04-20 15:11:55,2,0,5
2013-04-20 15:12:00,2,0,5
2013-04-20 15:12:05,2,2,5
2013-04-20 15:12:10,2,2,5
2013-04-20 15:12:15,2,2,5
2013-04-20 15:12:20,2,2,5
2013-04-20 15:12:25,2,2,5
2013-04-20 15:12:30,2,0,2
2013-04-20 15:12:35,2,0,2
2013-04-20 15:12:40,0,0,2
2013-04-20 15:12:45,0,0,5
2013-04-20 15:12:50,0,0,0
2013-04-20 15:12:55,2,0,0
