time,yvonne,charles,christina
2013-04-21 11:47:10,0,0,0
2013-04-21 11:47:15,0,0,0
2013-04-21 11:47:20,0,0,0
2013-04-21 11:47:25,0,0,0
2013-04-21 11:47:30,0,2,0
2013-04-21 11:47:35,0,0,0
2013-04-21 11:47:40,0,0,0
2013-04-21 11:47:45,0,0,0
2013-04-21 11:47:50,0,0,0
2013-04-21 11:47:55,0,0,0
2013-04-21 11:48:00,0,2,0
2013-04-21 11:48:05,2,2,2
2013-04-21 11:48:10,5,2,2
2013-04-21 11:48:15,4,2,5
2013-04-21 11:48:20,0,2,6
2013-04-21 11:48:25,0,2,6
2013-04-21 11:48:30,7,2,6
2013-04-21 11:48:35,8,2,0
2013-04-21 11:48:40,6,0,4
2013-04-21 11:48:45,7,2,4
2013-04-21 11:48:50,8,2,1
2013-04-21 11:48:55,8,2,2
2013-04-21 11:49:00,6,2,6
2013-04-21 11:49:05,6,2,6
2013-04-21 11:49:10,8,2,8
2013-04-21 11:49:15,3,5,6
2013-04-21 11:49:20,8,5,6
2013-04-21 11:49:25,3,5,4
2013-04-21 11:49:30,3,6,6
2013-04-21 11:49:35,3,6,4
2013-04-21 11:49:40,7,6,6
2013-04-21 11:49:45,3,6,4
2013-04-21 11:49:50,0,6,1
2013-04-21 11:49:55,1,8,1
2013-04-21 11:50:00,1,8,1
2013-04-21 11:50:05,1,8,1
2013-04-21 11:50:10,1,1,1
2013-04-21 11:50:15,1,1,1
2013-04-21 11:50:20,1,0,1
2013-04-21 11:50:25,0,7,1
2013-04-21 11:50:30,2,0,1
2013-04-21 11:50:35,2,7,2
2013-04-21 11:50:40,2,5,6
2013-04-21 11:50:45,2,7,6
2013-04-21 11:50:50,2,7,4
2013-04-21 11:50:55,2,5,4
2013-04-21 11:51:00,0,7,6
2013-04-21 11:51:05,2,7,6
2013-04-21 11:51:10,2,7,4
2013-04-21 11:51:15,2,7,4
2013-04-21 11:51:20,0,7,7
2013-04-21 11:51:25,0,6,6
2013-04-21 11:51:30,0,7,0
2013-04-21 11:51:35,0,7,4
2013-04-21 11:51:40,2,6,0
2013-04-21 11:51:45,0,7,6
2013-04-21 11:51:50,0,7,0
2013-04-21 11:51:55,0,7,6
2013-04-21 11:52:00,0,6,3
2013-04-21 11:52:05,0,6,2
2013-04-21 11:52:10,1,4,4
2013-04-21 11:52:15,0,8,4
2013-04-21 11:52:20,0,5,4
2013-04-21 11:52:25,0,8,4
2013-04-21 11:52:30,5,5,6
2013-04-21 11:52:35,1,5,4
2013-04-21 11:52:40,0,7,4
2013-04-21 11:52:45,5,6,4
2013-04-21 11:52:50,1,6,3
2013-04-21 11:52:55,0,4,0
2013-04-21 11:53:00,0,0,5
2013-04-21 11:53:05,2,2,5
2013-04-21 11:53:10,0,2,7
2013-04-21 11:53:15,0,0,6
2013-04-21 11:53:20,0,0,0
2013-04-21 11:53:25,5,2,2
2013-04-21 11:53:30,5,2,0
2013-04-21 11:53:35,5,0,2
2013-04-21 11:53:40,5,0,0
2013-04-21 11:53:45,5,2,0
2013-04-21 11:53:50,5,0,0
2013-04-21 11:53:55,5,0,0
2013-04-21 11:54:00,5,0,0
2013-04-21 11:54:05,5,0,0
2013-04-21 11:54:10,5,5,0
2013-04-21 11:54:15,5,7,6
2013-04-21 11:54:20,5,6,4
2013-04-21 11:54:25,7,6,2
2013-04-21 11:54:30,5,6,2
2013-04-21 11:54:35,0,7,0
2013-04-21 11:54:40,5,6,0
2013-04-21 11:54:45,6,8,6
2013-04-21 11:54:50,6,4,6
2013-04-21 11:54:55,6,6,4
2013-04-21 11:55:00,7,7,0
2013-04-21 11:55:05,6,7,1
2013-04-21 11:55:10,1,6,1
2013-04-21 11:55:15,1,8,1
2013-04-21 11:55:20,1,1,1
2013-04-21 11:55:25,1,1,1
2013-04-21 11:55:30,1,1,1
2013-04-21 11:55:35,4,1,0
2013-04-21 11:55:40,7,1,0
2013-04-21 11:55:45,7,0,0
2013-04-21 11:55:50,3,4,0
2013-04-21 11:55:55,3,0,0
2013-04-21 11:56:00,3,3,0
2013-04-21 11:56:05,3,3,0
2013-04-21 11:56:10,3,7,0
2013-04-21 11:56:15,3,7,0
2013-04-21 11:56:20,6,7,0
2013-04-21 11:56:25,3,3,0
2013-04-21 11:56:30,3,7,0
2013-04-21 11:56:35,3,0,0
2013-04-21 11:56:40,3,0,0
2013-04-21 11:56:45,6,0,0
2013-04-21 11:56:50,6,0,4
2013-04-21 11:56:55,6,0,4
2013-04-21 11:57:00,6,0,0
2013-04-21 11:57:05,4,8,0
2013-04-21 11:57:10,3,0,0
2013-04-21 11:57:15,3,3,0
2013-04-21 11:57:20,3,6,6
2013-04-21 11:57:25,3,6,4
2013-04-21 11:57:30,3,6,0
2013-04-21 11:57:35,3,6,2
2013-04-21 11:57:40,3,7,2
2013-04-21 11:57:45,3,7,2
2013-04-21 11:57:50,3,7,0
2013-04-21 11:57:55,3,7,6
2013-04-21 11:58:00,3,6,6
2013-04-21 11:58:05,3,6,4
2013-04-21 11:58:10,0,3,2
2013-04-21 11:58:15,0,3,2
2013-04-21 11:58:20,0,3,2
2013-04-21 11:58:25,2,0,2
2013-04-21 11:58:30,2,0,2
2013-04-21 11:58:35,2,0,0
2013-04-21 11:58:40,2,0,2
2013-04-21 11:58:45,2,2,2
2013-04-21 11:58:50,2,2,2
2013-04-21 11:58:55,2,2,2
2013-04-21 11:59:00,0,2,2
2013-04-21 11:59:05,2,7,2
2013-04-21 11:59:10,2,7,2
2013-04-21 11:59:15,2,7,5
2013-04-21 11:59:20,2,7,5
2013-04-21 11:59:25,2,7,5
2013-04-21 11:59:30,2,7,5
2013-04-21 11:59:35,2,5,5
2013-04-21 11:59:40,0,5,5
2013-04-21 11:59:45,2,5,5
2013-04-21 11:59:50,2,7,5
2013-04-21 11:59:55,5,5,0
2013-04-21 12:00:00,2,5,0
2013-04-21 12:00:05,0,5,0
2013-04-21 12:00:10,0,5,2
2013-04-21 12:00:15,2,5,0
2013-04-21 12:00:20,2,5,2
2013-04-21 12:00:25,2,5,0
2013-04-21 12:00:30,2,5,2
2013-04-21 12:00:35,2,5,2
2013-04-21 12:00:40,2,5,0
2013-04-21 12:00:45,2,5,0
2013-04-21 12:00:50,2,0,2
2013-04-21 12:00:55,0,0,0
2013-04-21 12:01:00,0,0,0
2013-04-21 12:01:05,0,0,0
2013-04-21 12:01:10,0,0,0
2013-04-21 12:01:15,0,0,0
