time,yvonne,christina,charles,jonathan
2013-04-27 17:46:15,0,0,0,0
2013-04-27 17:46:20,0,0,0,0
2013-04-27 17:46:25,0,6,2,0
2013-04-27 17:46:30,0,6,2,0
2013-04-27 17:46:35,0,6,0,0
2013-04-27 17:46:40,0,6,2,2
2013-04-27 17:46:45,0,6,2,2
2013-04-27 17:46:50,0,0,2,2
2013-04-27 17:46:55,0,4,2,2
2013-04-27 17:47:00,4,0,2,0
2013-04-27 17:47:05,4,7,2,2
2013-04-27 17:47:10,4,5,2,2
2013-04-27 17:47:15,4,7,2,0
2013-04-27 17:47:20,4,5,2,2
2013-04-27 17:47:25,4,0,2,2
2013-04-27 17:47:30,0,2,2,2
2013-04-27 17:47:35,4,2,2,5
2013-04-27 17:47:40,3,2,2,7
2013-04-27 17:47:45,4,2,2,2
2013-04-27 17:47:50,4,2,2,2
2013-04-27 17:47:55,4,2,2,2
2013-04-27 17:48:00,4,2,2,2
2013-04-27 17:48:05,0,2,2,0
2013-04-27 17:48:10,0,7,2,0
2013-04-27 17:48:15,4,4,2,0
2013-04-27 17:48:20,0,2,2,0
2013-04-27 17:48:25,1,2,2,2
2013-04-27 17:48:30,2,2,1,2
2013-04-27 17:48:35,2,2,2,0
2013-04-27 17:48:40,0,2,2,0
2013-04-27 17:48:45,1,2,0,2
2013-04-27 17:48:50,0,2,0,2
2013-04-27 17:48:55,0,2,0,2
2013-04-27 17:49:00,0,2,0,2
2013-04-27 17:49:05,1,2,0,2
2013-04-27 17:49:10,0,2,0,2
2013-04-27 17:49:15,0,2,8,2
2013-04-27 17:49:20,2,2,8,2
2013-04-27 17:49:25,2,0,8,2
2013-04-27 17:49:30,1,2,8,0
2013-04-27 17:49:35,1,2,8,2
2013-04-27 17:49:40,1,1,8,0
2013-04-27 17:49:45,1,1,8,0
2013-04-27 17:49:50,1,1,8,2
2013-04-27 17:49:55,1,1,8,2
2013-04-27 17:50:00,1,1,8,2
2013-04-27 17:50:05,1,1,3,2
2013-04-27 17:50:10,1,2,3,7
2013-04-27 17:50:15,1,0,3,7
2013-04-27 17:50:20,1,0,6,6
2013-04-27 17:50:25,1,0,0,6
2013-04-27 17:50:30,1,0,0,6
2013-04-27 17:50:35,2,0,0,6
2013-04-27 17:50:40,2,0,0,6
2013-04-27 17:50:45,2,0,7,6
2013-04-27 17:50:50,2,0,6,7
2013-04-27 17:50:55,2,6,6,6
2013-04-27 17:51:00,0,0,6,6
2013-04-27 17:51:05,0,0,6,6
2013-04-27 17:51:10,2,0,6,7
2013-04-27 17:51:15,2,0,6,6
2013-04-27 17:51:20,2,0,8,6
2013-04-27 17:51:25,2,0,6,6
2013-04-27 17:51:30,0,6,7,6
2013-04-27 17:51:35,0,7,8,6
2013-04-27 17:51:40,0,6,6,6
2013-04-27 17:51:45,0,4,6,6
2013-04-27 17:51:50,0,3,3,6
2013-04-27 17:51:55,3,3,6,6
2013-04-27 17:52:00,3,3,6,6
2013-04-27 17:52:05,3,3,4,6
2013-04-27 17:52:10,3,3,8,6
2013-04-27 17:52:15,3,3,8,6
2013-04-27 17:52:20,3,3,6,6
2013-04-27 17:52:25,3,3,4,6
2013-04-27 17:52:30,3,3,4,6
2013-04-27 17:52:35,3,3,8,6
2013-04-27 17:52:40,3,3,8,6
2013-04-27 17:52:45,3,3,8,6
2013-04-27 17:52:50,3,3,8,7
2013-04-27 17:52:55,3,3,8,7
2013-04-27 17:53:00,0,0,8,0
2013-04-27 17:53:05,4,3,8,2
2013-04-27 17:53:10,4,3,8,2
2013-04-27 17:53:15,3,3,8,2
2013-04-27 17:53:20,0,3,3,0
2013-04-27 17:53:25,3,3,2,2
2013-04-27 17:53:30,4,3,3,2
2013-04-27 17:53:35,0,3,0,3
2013-04-27 17:53:40,2,3,2,0
2013-04-27 17:53:45,2,3,3,0
2013-04-27 17:53:50,0,3,3,0
2013-04-27 17:53:55,2,0,3,0
2013-04-27 17:54:00,0,8,3,0
2013-04-27 17:54:05,2,6,3,0
2013-04-27 17:54:10,0,6,0,2
2013-04-27 17:54:15,0,7,0,5
2013-04-27 17:54:20,0,0,4,1
2013-04-27 17:54:25,2,2,0,2
2013-04-27 17:54:30,0,2,0,2
2013-04-27 17:54:35,0,2,1,2
2013-04-27 17:54:40,0,4,1,0
2013-04-27 17:54:45,2,4,0,2
2013-04-27 17:54:50,0,0,7,7
2013-04-27 17:54:55,2,7,0,4
2013-04-27 17:55:00,4,0,0,5
2013-04-27 17:55:05,2,7,1,5
2013-04-27 17:55:10,0,7,1,5
2013-04-27 17:55:15,0,7,0,5
2013-04-27 17:55:20,0,7,1,5
2013-04-27 17:55:25,0,0,1,6
2013-04-27 17:55:30,4,0,4,4
2013-04-27 17:55:35,2,0,4,6
2013-04-27 17:55:40,0,0,1,6
2013-04-27 17:55:45,2,0,2,5
2013-04-27 17:55:50,0,2,2,0
2013-04-27 17:55:55,0,0,2,0
2013-04-27 17:56:00,0,3,1,4
2013-04-27 17:56:05,0,3,2,0
2013-04-27 17:56:10,0,6,5,2
2013-04-27 17:56:15,0,4,7,0
2013-04-27 17:56:20,0,1,7,2
2013-04-27 17:56:25,0,1,7,2
2013-04-27 17:56:30,0,1,7,1
2013-04-27 17:56:35,2,0,5,1
2013-04-27 17:56:40,0,2,5,1
2013-04-27 17:56:45,0,2,5,1
2013-04-27 17:56:50,0,2,5,5
2013-04-27 17:56:55,0,2,5,5
2013-04-27 17:57:00,0,2,5,6
2013-04-27 17:57:05,0,2,5,6
2013-04-27 17:57:10,0,2,0,2
2013-04-27 17:57:15,0,2,2,2
2013-04-27 17:57:20,0,2,2,2
2013-04-27 17:57:25,0,2,2,2
2013-04-27 17:57:30,0,2,2,2
2013-04-27 17:57:35,0,2,2,2
2013-04-27 17:57:40,0,1,1,1
2013-04-27 17:57:45,0,0,1,0
2013-04-27 17:57:50,0,1,1,2
2013-04-27 17:57:55,0,0,1,0
2013-04-27 17:58:00,0,2,1,2
2013-04-27 17:58:05,0,1,1,2
2013-04-27 17:58:10,1,2,2,2
2013-04-27 17:58:15,1,2,0,2
2013-04-27 17:58:20,1,2,0,0
2013-04-27 17:58:25,1,2,0,0
2013-04-27 17:58:30,1,0,0,0
2013-04-27 17:58:35,1,0,0,0
2013-04-27 17:58:40,1,0,6,0
2013-04-27 17:58:45,1,0,6,0
2013-04-27 17:58:50,1,0,6,0
2013-04-27 17:58:55,1,0,6,0
2013-04-27 17:59:00,1,0,6,4
2013-04-27 17:59:05,1,0,3,4
2013-04-27 17:59:10,1,0,3,1
2013-04-27 17:59:15,1,0,7,0
2013-04-27 17:59:20,2,0,7,0
2013-04-27 17:59:25,2,0,4,0
2013-04-27 17:59:30,2,0,7,0
2013-04-27 17:59:35,0,0,7,0
2013-04-27 17:59:40,2,0,0,0
2013-04-27 17:59:45,0,0,2,0
2013-04-27 17:59:50,2,0,0,2
2013-04-27 17:59:55,2,0,1,1
2013-04-27 18:00:00,0,0,2,1
2013-04-27 18:00:05,0,0,0,0
2013-04-27 18:00:10,2,0,0,0
2013-04-27 18:00:15,2,1,0,0
2013-04-27 18:00:20,2,0,7,0
2013-04-27 18:00:25,0,0,6,2
2013-04-27 18:00:30,8,0,6,2
2013-04-27 18:00:35,8,0,3,2
2013-04-27 18:00:40,0,0,3,0
2013-04-27 18:00:45,0,0,6,5
2013-04-27 18:00:50,5,5,6,6
2013-04-27 18:00:55,5,6,7,6
2013-04-27 18:01:00,0,4,7,0
2013-04-27 18:01:05,0,4,6,3
2013-04-27 18:01:10,2,0,6,3
2013-04-27 18:01:15,0,0,3,3
2013-04-27 18:01:20,3,0,3,3
2013-04-27 18:01:25,7,3,4,3
2013-04-27 18:01:30,0,3,3,3
2013-04-27 18:01:35,3,3,3,3
2013-04-27 18:01:40,3,0,3,3
2013-04-27 18:01:45,2,0,3,3
2013-04-27 18:01:50,0,0,3,3
2013-04-27 18:01:55,3,2,2,3
2013-04-27 18:02:00,3,2,0,3
2013-04-27 18:02:05,3,2,0,3
2013-04-27 18:02:10,0,2,0,3
2013-04-27 18:02:15,0,2,0,4
2013-04-27 18:02:20,0,0,0,1
2013-04-27 18:02:25,0,0,2,1
2013-04-27 18:02:30,0,0,0,1
2013-04-27 18:02:35,0,0,0,3
2013-04-27 18:02:40,0,0,0,3
2013-04-27 18:02:45,0,0,0,3
2013-04-27 18:02:50,0,0,0,3
2013-04-27 18:02:55,0,0,4,3
2013-04-27 18:03:00,0,0,4,3
2013-04-27 18:03:05,2,0,6,3
2013-04-27 18:03:10,0,0,4,3
2013-04-27 18:03:15,0,0,7,3
2013-04-27 18:03:20,0,0,0,3
2013-04-27 18:03:25,0,0,0,3
2013-04-27 18:03:30,0,0,0,3
2013-04-27 18:03:35,0,0,0,4
2013-04-27 18:03:40,0,0,0,0
