time,jonathan,christina,charles,yvonne
2013-05-04 13:21:45,3,0,0,0
2013-05-04 13:21:50,0,0,0,0
2013-05-04 13:21:55,0,0,0,0
2013-05-04 13:22:00,0,0,0,0
2013-05-04 13:22:05,0,0,0,0
2013-05-04 13:22:10,0,0,0,0
2013-05-04 13:22:15,0,0,0,0
2013-05-04 13:22:20,0,0,0,0
2013-05-04 13:22:25,0,0,0,0
2013-05-04 13:22:30,0,0,0,0
2013-05-04 13:22:35,0,0,0,0
2013-05-04 13:22:40,0,0,0,0
2013-05-04 13:22:45,0,0,0,0
2013-05-04 13:22:50,0,0,0,0
2013-05-04 13:22:55,0,0,0,0
2013-05-04 13:23:00,0,0,0,0
2013-05-04 13:23:05,0,0,0,0
2013-05-04 13:23:10,0,0,0,0
2013-05-04 13:23:15,0,0,0,0
2013-05-04 13:23:20,0,0,0,0
2013-05-04 13:23:25,0,0,0,0
2013-05-04 13:23:30,0,0,0,0
2013-05-04 13:23:35,0,0,0,0
2013-05-04 13:23:40,0,0,0,0
2013-05-04 13:23:45,0,0,0,0
2013-05-04 13:23:50,0,0,0,0
2013-05-04 13:23:55,0,6,0,0
2013-05-04 13:24:00,0,6,0,0
2013-05-04 13:24:05,2,6,0,0
2013-05-04 13:24:10,2,6,0,0
2013-05-04 13:24:15,2,6,0,0
2013-05-04 13:24:20,2,6,0,0
2013-05-04 13:24:25,2,6,0,0
2013-05-04 13:24:30,0,7,0,0
2013-05-04 13:24:35,2,6,0,0
2013-05-04 13:24:40,0,4,0,0
2013-05-04 13:24:45,0,4,0,0
2013-05-04 13:24:50,0,4,0,0
2013-05-04 13:24:55,0,8,0,0
2013-05-04 13:25:00,0,0,2,0
2013-05-04 13:25:05,2,0,2,0
2013-05-04 13:25:10,4,0,0,0
2013-05-04 13:25:15,4,0,4,0
2013-05-04 13:25:20,3,0,0,0
2013-05-04 13:25:25,4,0,0,0
2013-05-04 13:25:30,0,6,0,0
2013-05-04 13:25:35,0,3,6,0
2013-05-04 13:25:40,3,4,4,0
2013-05-04 13:25:45,0,0,6,0
2013-05-04 13:25:50,0,0,4,0
2013-05-04 13:25:55,0,0,6,0
2013-05-04 13:26:00,0,0,2,0
2013-05-04 13:26:05,0,0,6,0
2013-05-04 13:26:10,0,0,0,0
2013-05-04 13:26:15,0,0,0,0
2013-05-04 13:26:20,0,0,0,0
2013-05-04 13:26:25,0,0,0,0
2013-05-04 13:26:30,0,0,0,0
2013-05-04 13:26:35,0,0,0,0
2013-05-04 13:26:40,0,0,0,0
2013-05-04 13:26:45,0,0,0,0
2013-05-04 13:26:50,0,2,2,0
2013-05-04 13:26:55,3,2,2,0
2013-05-04 13:27:00,2,0,2,0
2013-05-04 13:27:05,0,0,0,0
2013-05-04 13:27:10,0,6,0,2
2013-05-04 13:27:15,0,3,4,2
2013-05-04 13:27:20,0,6,6,2
2013-05-04 13:27:25,0,6,6,2
2013-05-04 13:27:30,0,4,6,2
2013-05-04 13:27:35,2,0,4,0
