time,charles,christina,jonathan,yvonne
2013-05-04 14:24:20,5,0,0,0
2013-05-04 14:24:25,5,0,0,0
2013-05-04 14:24:30,7,5,0,0
2013-05-04 14:24:35,7,7,0,0
2013-05-04 14:24:40,7,6,7,5
2013-05-04 14:24:45,7,6,0,5
2013-05-04 14:24:50,7,6,0,5
2013-05-04 14:24:55,7,6,4,5
2013-05-04 14:25:00,6,6,3,5
2013-05-04 14:25:05,6,4,0,5
2013-05-04 14:25:10,6,4,0,8
2013-05-04 14:25:15,6,4,4,7
2013-05-04 14:25:20,6,4,4,7
2013-05-04 14:25:25,6,1,0,6
2013-05-04 14:25:30,6,1,2,6
2013-05-04 14:25:35,6,1,4,8
2013-05-04 14:25:40,7,1,3,6
2013-05-04 14:25:45,6,1,6,8
2013-05-04 14:25:50,6,1,4,6
2013-05-04 14:25:55,3,1,2,8
2013-05-04 14:26:00,8,4,2,8
2013-05-04 14:26:05,7,6,2,8
2013-05-04 14:26:10,4,3,2,8
2013-05-04 14:26:15,8,1,2,8
2013-05-04 14:26:20,8,1,2,6
2013-05-04 14:26:25,8,1,2,8
2013-05-04 14:26:30,8,2,2,8
2013-05-04 14:26:35,8,0,2,8
2013-05-04 14:26:40,8,0,2,8
2013-05-04 14:26:45,8,0,2,8
2013-05-04 14:26:50,4,0,2,6
2013-05-04 14:26:55,2,0,0,8
2013-05-04 14:27:00,2,0,3,8
2013-05-04 14:27:05,0,0,2,4
2013-05-04 14:27:10,2,0,2,8
2013-05-04 14:27:15,2,0,0,6
2013-05-04 14:27:20,2,0,2,8
2013-05-04 14:27:25,2,0,2,8
2013-05-04 14:27:30,2,0,2,6
2013-05-04 14:27:35,2,0,2,8
2013-05-04 14:27:40,2,0,0,6
2013-05-04 14:27:45,0,0,2,0
2013-05-04 14:27:50,0,2,2,0
2013-05-04 14:27:55,0,0,2,0
2013-05-04 14:28:00,0,2,2,0
2013-05-04 14:28:05,0,2,2,0
2013-05-04 14:28:10,0,2,0,0
2013-05-04 14:28:15,0,0,0,0
2013-05-04 14:28:20,0,0,2,0
2013-05-04 14:28:25,2,0,2,0
2013-05-04 14:28:30,2,3,2,0
2013-05-04 14:28:35,0,3,0,0
2013-05-04 14:28:40,0,4,0,0
2013-05-04 14:28:45,0,6,2,0
2013-05-04 14:28:50,0,0,0,0
2013-05-04 14:28:55,0,0,2,0
2013-05-04 14:29:00,0,0,0,0
2013-05-04 14:29:05,0,0,2,0
2013-05-04 14:29:10,0,0,2,0
2013-05-04 14:29:15,0,0,2,0
2013-05-04 14:29:20,0,0,2,0
2013-05-04 14:29:25,0,2,2,0
2013-05-04 14:29:30,0,0,0,0
2013-05-04 14:29:35,0,0,0,0
2013-05-04 14:29:40,2,0,0,0
2013-05-04 14:29:45,2,0,0,0
2013-05-04 14:29:50,3,6,0,0
2013-05-04 14:29:55,0,3,0,0
2013-05-04 14:30:00,4,0,0,0
2013-05-04 14:30:05,0,0,0,0
2013-05-04 14:30:10,0,0,0,0
2013-05-04 14:30:15,4,0,0,0
2013-05-04 14:30:20,0,0,0,0
2013-05-04 14:30:25,0,0,0,0
2013-05-04 14:30:30,0,0,0,0
2013-05-04 14:30:35,0,0,0,0
2013-05-04 14:30:40,0,0,2,0
2013-05-04 14:30:45,0,0,2,0
2013-05-04 14:30:50,0,0,2,0
2013-05-04 14:30:55,7,0,2,4
2013-05-04 14:31:00,7,3,2,4
2013-05-04 14:31:05,6,4,2,4
2013-05-04 14:31:10,6,0,2,4
2013-05-04 14:31:15,6,2,0,4
2013-05-04 14:31:20,6,0,0,3
2013-05-04 14:31:25,6,0,0,6
2013-05-04 14:31:30,6,0,0,4
2013-05-04 14:31:35,6,0,0,3
2013-05-04 14:31:40,6,2,0,3
2013-05-04 14:31:45,6,1,0,3
2013-05-04 14:31:50,6,1,0,3
2013-05-04 14:31:55,6,1,0,6
2013-05-04 14:32:00,6,1,0,3
2013-05-04 14:32:05,3,2,0,3
2013-05-04 14:32:10,6,1,0,3
2013-05-04 14:32:15,3,1,0,3
2013-05-04 14:32:20,7,1,0,3
2013-05-04 14:32:25,6,2,0,3
2013-05-04 14:32:30,3,2,0,3
2013-05-04 14:32:35,6,2,0,3
