time,jonathan,charles,christina,yvonne
2013-08-03 17:25:30,2,0,0,0
2013-08-03 17:25:35,2,0,0,0
2013-08-03 17:25:40,2,0,0,0
2013-08-03 17:25:45,0,0,0,0
2013-08-03 17:25:50,0,0,0,0
2013-08-03 17:25:55,0,0,0,0
2013-08-03 17:26:00,0,0,0,0
2013-08-03 17:26:05,0,0,0,0
2013-08-03 17:26:10,0,0,0,0
2013-08-03 17:26:15,0,0,0,0
2013-08-03 17:26:20,0,0,0,0
2013-08-03 17:26:25,0,0,0,0
2013-08-03 17:26:30,0,0,0,0
2013-08-03 17:26:35,0,0,0,0
2013-08-03 17:26:40,0,0,0,0
2013-08-03 17:26:45,0,0,0,0
2013-08-03 17:26:50,0,0,0,0
2013-08-03 17:26:55,0,0,0,0
2013-08-03 17:27:00,0,0,0,0
2013-08-03 17:27:05,0,0,0,0
2013-08-03 17:27:10,0,0,0,0
2013-08-03 17:27:15,0,0,0,0
2013-08-03 17:27:20,0,0,0,0
2013-08-03 17:27:25,0,0,0,0
2013-08-03 17:27:30,0,0,0,0
2013-08-03 17:27:35,0,0,0,0
2013-08-03 17:27:40,0,0,0,0
2013-08-03 17:27:45,0,0,0,0
2013-08-03 17:27:50,0,0,0,0
2013-08-03 17:27:55,0,0,0,0
2013-08-03 17:28:00,0,0,0,0
2013-08-03 17:28:05,0,0,0,0
2013-08-03 17:28:10,0,0,0,0
2013-08-03 17:28:15,0,0,0,0
2013-08-03 17:28:20,0,0,0,0
2013-08-03 17:28:25,0,0,0,0
2013-08-03 17:28:30,0,0,0,0
2013-08-03 17:28:35,0,0,0,0
2013-08-03 17:28:40,0,0,0,0
2013-08-03 17:28:45,0,2,0,0
2013-08-03 17:28:50,0,6,0,0
2013-08-03 17:28:55,0,6,0,0
2013-08-03 17:29:00,0,6,0,0
2013-08-03 17:29:05,0,6,0,0
2013-08-03 17:29:10,0,7,6,0
2013-08-03 17:29:15,0,7,4,0
2013-08-03 17:29:20,0,4,2,0
2013-08-03 17:29:25,0,7,3,0
