time,device_id,x_pos,y_pos,velocity
2013-08-03T17:11:01.880154,charles,94,88,0
2013-08-03T17:11:02.106665,charles,99.5,84,6.800735
2013-08-03T17:11:02.118694,charles,100.5,83,1.414214
2013-08-03T17:11:02.136555,charles,101.5,83,1
2013-08-03T17:11:02.152037,charles,102.5,82.5,1.118034
2013-08-03T17:11:02.167586,charles,103.5,82,1.118034
2013-08-03T17:11:02.186944,charles,104,82,0.5
2013-08-03T17:11:02.202030,charles,105,82,1
2013-08-03T17:11:02.218899,charles,106,82,1
2013-08-03T17:11:02.239092,charles,106.5,82,0.5
2013-08-03T17:11:02.252579,charles,107,81.5,0.7071068
2013-08-03T17:11:02.270150,charles,108,81.5,1
2013-08-03T17:11:02.285369,charles,109,81.5,1
2013-08-03T17:11:02.318732,charles,110,81.5,1
2013-08-03T17:11:02.335562,charles,110.5,81.5,0.5
2013-08-03T17:11:02.355546,charles,111,81.5,0.5
2013-08-03T17:11:02.368835,charles,111.5,81.5,0.5
2013-08-03T17:11:02.386901,charles,112,81.5,0.5
2013-08-03T17:11:02.421664,charles,112.5,82,0.7071068
2013-08-03T17:11:02.437928,charles,113,82,0.5
2013-08-03T17:11:02.451942,charles,113,82.5,0.5
2013-08-03T17:11:02.471014,charles,113.5,83,0.7071068
2013-08-03T17:11:02.486225,charles,113.5,84,1
2013-08-03T17:11:02.501795,charles,113.5,84.5,0.5
2013-08-03T17:11:02.523068,charles,113.5,85,0.5
2013-08-03T17:11:02.542624,charles,113.5,86,1
2013-08-03T17:11:02.555404,charles,114,86.5,0.7071068
2013-08-03T17:11:02.568932,charles,114,87,0.5
2013-08-03T17:11:02.587026,charles,114,88.5,1.5
2013-08-03T17:11:02.607799,charles,114,89,0.5
2013-08-03T17:11:02.618556,charles,114,89.5,0.5
2013-08-03T17:11:02.635989,charles,114,90.5,1
2013-08-03T17:11:02.657499,charles,114,91.5,1
2013-08-03T17:11:02.671737,charles,114,92,0.5
2013-08-03T17:11:02.686583,charles,113.5,93,1.118034
2013-08-03T17:11:02.703301,charles,113,94,1.118034
2013-08-03T17:11:02.719653,charles,112.5,94,0.5
2013-08-03T17:11:02.736904,charles,111.5,95,1.414214
2013-08-03T17:11:02.752189,charles,109.5,95.5,2.061553
2013-08-03T17:11:02.772298,charles,108.5,96,1.118034
2013-08-03T17:11:02.786285,charles,107,96.5,1.581139
2013-08-03T17:11:02.801762,charles,105.5,97,1.581139
2013-08-03T17:11:02.820693,charles,104,97.5,1.581139
2013-08-03T17:11:02.847887,charles,102,98,2.061553
2013-08-03T17:11:02.862922,charles,100.5,98.5,1.581139
2013-08-03T17:11:02.868475,charles,99,99,1.581139
2013-08-03T17:11:02.889531,charles,97.5,99,1.5
2013-08-03T17:11:02.903146,charles,96.5,99.5,1.118034
2013-08-03T17:11:02.919219,charles,96,99.5,0.5
2013-08-03T17:11:02.935557,charles,94.5,100,1.581139
2013-08-03T17:11:02.952143,charles,93.5,100,1
2013-08-03T17:11:02.969221,charles,92.5,100,1
2013-08-03T17:11:02.987245,charles,92,100,0.5
2013-08-03T17:11:03.005451,charles,91,100,1
2013-08-03T17:11:03.018263,charles,90,100,1
2013-08-03T17:11:03.042607,charles,89.5,100,0.5
2013-08-03T17:11:03.050921,charles,89,100,0.5
2013-08-03T17:11:03.071472,charles,88.5,100,0.5
2013-08-03T17:11:03.086014,charles,88,99.5,0.7071068
2013-08-03T17:11:03.103634,charles,87.5,99,0.7071068
2013-08-03T17:11:03.121769,charles,87.5,98,1
2013-08-03T17:11:03.135997,charles,87.5,97,1
2013-08-03T17:11:03.151912,charles,87.5,96.5,0.5
2013-08-03T17:11:03.168825,charles,87.5,95,1.5
2013-08-03T17:11:03.191025,charles,87.5,94,1
2013-08-03T17:11:03.203447,charles,87.5,93,1
2013-08-03T17:11:03.218642,charles,87.5,92,1
2013-08-03T17:11:03.245231,charles,87.5,91,1
2013-08-03T17:11:03.254646,charles,87.5,90,1
2013-08-03T17:11:03.268751,charles,87.5,89,1
2013-08-03T17:11:03.284711,charles,87.5,88,1
2013-08-03T17:11:03.307312,charles,88.5,87,1.414214
2013-08-03T17:11:03.318496,charles,89.5,86.5,1.118034
2013-08-03T17:11:03.343784,charles,90,85,1.581139
2013-08-03T17:11:03.352548,charles,91.5,84,1.802776
2013-08-03T17:11:03.368269,charles,92.5,83,1.414214
2013-08-03T17:11:03.387208,charles,94,82,1.802776
2013-08-03T17:11:03.401610,charles,95,80.5,1.802776
2013-08-03T17:11:03.423110,charles,96.5,79.5,1.802776
2013-08-03T17:11:03.445159,charles,99,78.5,2.692582
2013-08-03T17:11:03.467083,charles,100.5,77,2.12132
2013-08-03T17:11:03.469977,charles,102.5,76.5,2.061553
2013-08-03T17:11:03.486844,charles,104,75.5,1.802776
2013-08-03T17:11:03.501525,charles,106.5,75,2.54951
2013-08-03T17:11:03.519734,charles,108.5,75,2
2013-08-03T17:11:03.547588,charles,109.5,74.5,1.118034
2013-08-03T17:11:03.552380,charles,111.5,74.5,2
2013-08-03T17:11:03.580818,charles,113.5,74.5,2
2013-08-03T17:11:03.598229,charles,115.5,74.5,2
2013-08-03T17:11:03.615785,charles,117,74.5,1.5
2013-08-03T17:11:03.639601,charles,118.5,74.5,1.5
2013-08-03T17:11:03.650827,charles,120,74.5,1.5
2013-08-03T17:11:03.655404,charles,122,74.5,2
2013-08-03T17:11:03.668969,charles,123,75,1.118034
2013-08-03T17:11:03.688978,charles,124.5,75.5,1.581139
2013-08-03T17:11:03.700600,charles,125.5,76.5,1.414214
2013-08-03T17:11:03.720226,charles,126.5,77.5,1.414214
2013-08-03T17:11:03.736704,charles,128,79,2.12132
2013-08-03T17:11:03.751652,charles,128.5,80.5,1.581139
2013-08-03T17:11:03.771295,charles,130,82,2.12132
2013-08-03T17:11:03.785656,charles,130.5,83.5,1.581139
2013-08-03T17:11:03.805443,charles,131,85,1.581139
2013-08-03T17:11:03.818428,charles,131.5,87,2.061553
2013-08-03T17:11:03.841156,charles,132,89,2.061553
2013-08-03T17:11:03.852413,charles,132.5,91.5,2.54951
2013-08-03T17:11:03.870217,charles,132.5,93,1.5
2013-08-03T17:11:03.886953,charles,132.5,95,2
2013-08-03T17:11:03.907082,charles,132.5,97,2
2013-08-03T17:11:03.918786,charles,132.5,99,2
2013-08-03T17:11:03.936073,charles,132.5,101.5,2.5
2013-08-03T17:11:03.955904,charles,132.5,104,2.5
2013-08-03T17:11:03.971426,charles,132.5,106,2
2013-08-03T17:11:03.988609,charles,132,107.5,1.581139
2013-08-03T17:11:04.003900,charles,130.5,110,2.915476
2013-08-03T17:11:04.019399,charles,129.5,111.5,1.802776
2013-08-03T17:11:04.037381,charles,128,113.5,2.5
2013-08-03T17:11:04.074070,charles,126.5,115.5,2.5
2013-08-03T17:11:04.076676,charles,125,116.5,1.802776
2013-08-03T17:11:04.085740,charles,123.5,117.5,1.802776
2013-08-03T17:11:04.102229,charles,122,118.5,1.802776
2013-08-03T17:11:04.120003,charles,120,120,2.5
2013-08-03T17:11:04.135905,charles,118,120.5,2.061553
2013-08-03T17:11:04.152105,charles,116,121,2.061553
2013-08-03T17:11:04.167282,charles,114,122,2.236068
2013-08-03T17:11:04.190192,charles,112,122.5,2.061553
2013-08-03T17:11:04.202162,charles,109.5,123.5,2.692582
2013-08-03T17:11:04.218740,charles,107.5,124,2.061553
2013-08-03T17:11:04.246629,charles,105,124.5,2.54951
2013-08-03T17:11:04.269658,charles,103.5,124.5,1.5
2013-08-03T17:11:04.282115,charles,101.5,124.5,2
2013-08-03T17:11:04.285287,charles,99.5,124.5,2
2013-08-03T17:11:04.310437,charles,98.5,124.5,1
2013-08-03T17:11:04.320449,charles,97.5,124.5,1
2013-08-03T17:11:04.340409,charles,97,124.5,0.5
2013-08-03T17:11:04.352022,charles,96.5,124.5,0.5
2013-08-03T17:11:04.369645,charles,95.5,124.5,1
2013-08-03T17:11:04.386547,charles,95,124,0.7071068
2013-08-03T17:11:04.407297,charles,94.5,123.5,0.7071068
