8.139770, 10.0.1.6, < (/metatone/online) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
8.835688, 10.0.1.3, < (/metatone/online) ( 97F37307-2A95-4796-BAC9-935BF417AC42)>
10.748098, 10.0.1.4, < (/metatone/online) ( 2678456D-9AE7-4DCC-A561-688A4766C325)>
10.950426, 10.0.1.6, < (/metatone/switch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, loopingOn, NO)>
13.433235, 10.0.1.5, < (/metatone/online) ( 6769FE40-5F64-455B-82D4-814E26986A99)>
14.070618, 10.0.1.6, < (/metatone/touch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, 501.5, 501.5, 0)>
14.275751, 10.0.1.6, < (/metatone/touch/ended) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
14.474130, 10.0.1.6, < (/metatone/touch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, 545, 376, 0)>
14.691190, 10.0.1.6, < (/metatone/touch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, 544, 372.5, 3.640055)>
14.705397, 10.0.1.6, < (/metatone/touch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, 544, 371, 1.5)>
14.725216, 10.0.1.6, < (/metatone/touch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, 544, 367.5, 3.5)>
14.740896, 10.0.1.6, < (/metatone/touch/ended) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
15.058036, 10.0.1.6, < (/metatone/touch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, 420, 252, 0)>
15.204988, 10.0.1.6, < (/metatone/touch/ended) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
15.511238, 10.0.1.6, < (/metatone/touch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, 875.5, 382, 0)>
15.641287, 10.0.1.6, < (/metatone/touch/ended) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
15.936628, 10.0.1.6, < (/metatone/touch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, 594, 251, 0)>
16.058000, 10.0.1.6, < (/metatone/touch/ended) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
