time,christina,charles,yvonne,jonathan
2013-08-03 18:38:10,2,5,0,0
2013-08-03 18:38:15,7,5,7,0
2013-08-03 18:38:20,4,5,0,5
2013-08-03 18:38:25,0,5,3,0
2013-08-03 18:38:30,4,5,0,7
2013-08-03 18:38:35,3,6,2,6
2013-08-03 18:38:40,2,5,3,6
2013-08-03 18:38:45,0,5,2,7
2013-08-03 18:38:50,2,6,4,6
2013-08-03 18:38:55,2,7,4,0
2013-08-03 18:39:00,2,7,4,4
2013-08-03 18:39:05,0,4,4,4
2013-08-03 18:39:10,4,6,8,6
2013-08-03 18:39:15,3,6,3,4
2013-08-03 18:39:20,2,6,3,3
2013-08-03 18:39:25,2,2,8,3
2013-08-03 18:39:30,2,0,3,3
2013-08-03 18:39:35,0,7,3,0
2013-08-03 18:39:40,2,4,3,6
2013-08-03 18:39:45,3,4,4,0
2013-08-03 18:39:50,2,4,8,6
2013-08-03 18:39:55,1,4,3,3
2013-08-03 18:40:00,4,6,4,0
2013-08-03 18:40:05,7,7,0,2
2013-08-03 18:40:10,4,7,4,4
2013-08-03 18:40:15,4,4,4,2
2013-08-03 18:40:20,4,4,2,2
2013-08-03 18:40:25,4,6,3,2
2013-08-03 18:40:30,4,4,4,2
2013-08-03 18:40:35,3,4,3,2
2013-08-03 18:40:40,3,4,0,2
2013-08-03 18:40:45,3,4,0,2
2013-08-03 18:40:50,4,8,0,2
2013-08-03 18:40:55,2,4,0,2
2013-08-03 18:41:00,2,8,2,2
2013-08-03 18:41:05,4,5,0,0
2013-08-03 18:41:10,2,5,2,2
2013-08-03 18:41:15,0,2,2,2
2013-08-03 18:41:20,0,0,2,2
2013-08-03 18:41:25,2,2,1,2
2013-08-03 18:41:30,0,2,1,1
2013-08-03 18:41:35,2,0,1,2
2013-08-03 18:41:40,0,2,1,0
2013-08-03 18:41:45,0,2,1,2
2013-08-03 18:41:50,0,2,2,2
2013-08-03 18:41:55,2,2,1,2
2013-08-03 18:42:00,1,2,0,2
2013-08-03 18:42:05,2,1,1,0
2013-08-03 18:42:10,2,1,1,2
2013-08-03 18:42:15,2,2,1,2
2013-08-03 18:42:20,2,2,1,0
2013-08-03 18:42:25,1,2,1,2
2013-08-03 18:42:30,1,2,1,2
2013-08-03 18:42:35,1,2,1,2
2013-08-03 18:42:40,1,0,1,2
2013-08-03 18:42:45,1,6,1,2
2013-08-03 18:42:50,6,6,1,2
2013-08-03 18:42:55,3,6,1,2
2013-08-03 18:43:00,0,6,1,1
2013-08-03 18:43:05,0,8,1,2
2013-08-03 18:43:10,0,8,1,2
2013-08-03 18:43:15,0,5,1,2
2013-08-03 18:43:20,0,8,2,2
2013-08-03 18:43:25,1,8,0,2
2013-08-03 18:43:30,1,8,0,2
2013-08-03 18:43:35,0,8,0,2
2013-08-03 18:43:40,0,8,0,2
2013-08-03 18:43:45,0,8,0,1
2013-08-03 18:43:50,0,8,0,2
2013-08-03 18:43:55,0,5,0,2
2013-08-03 18:44:00,0,8,0,2
2013-08-03 18:44:05,0,8,0,0
2013-08-03 18:44:10,0,8,0,2
2013-08-03 18:44:15,2,8,0,0
2013-08-03 18:44:20,2,1,7,6
2013-08-03 18:44:25,0,2,6,6
2013-08-03 18:44:30,2,0,6,6
2013-08-03 18:44:35,2,0,7,6
2013-08-03 18:44:40,0,2,6,6
2013-08-03 18:44:45,2,2,6,6
2013-08-03 18:44:50,2,0,6,8
2013-08-03 18:44:55,1,0,6,8
2013-08-03 18:45:00,2,0,3,8
2013-08-03 18:45:05,2,0,3,8
2013-08-03 18:45:10,2,0,3,8
2013-08-03 18:45:15,2,2,7,8
2013-08-03 18:45:20,2,1,3,8
2013-08-03 18:45:25,1,1,3,8
2013-08-03 18:45:30,3,1,7,6
2013-08-03 18:45:35,3,1,7,7
2013-08-03 18:45:40,3,1,3,0
2013-08-03 18:45:45,3,1,3,2
2013-08-03 18:45:50,3,1,4,2
2013-08-03 18:45:55,3,1,3,2
2013-08-03 18:46:00,3,1,3,2
2013-08-03 18:46:05,2,1,3,0
2013-08-03 18:46:10,2,1,6,2
2013-08-03 18:46:15,0,1,3,0
2013-08-03 18:46:20,0,1,3,4
2013-08-03 18:46:25,2,1,3,2
2013-08-03 18:46:30,3,1,6,2
2013-08-03 18:46:35,2,5,6,0
2013-08-03 18:46:40,2,0,6,6
2013-08-03 18:46:45,2,2,6,6
2013-08-03 18:46:50,2,2,4,6
2013-08-03 18:46:55,2,2,7,6
2013-08-03 18:47:00,2,2,7,0
2013-08-03 18:47:05,2,2,0,2
2013-08-03 18:47:10,0,2,4,2
2013-08-03 18:47:15,2,2,2,2
2013-08-03 18:47:20,2,2,2,2
2013-08-03 18:47:25,2,2,2,2
2013-08-03 18:47:30,2,2,2,2
2013-08-03 18:47:35,2,2,2,2
2013-08-03 18:47:40,2,2,2,2
2013-08-03 18:47:45,2,2,2,2
2013-08-03 18:47:50,2,2,2,2
2013-08-03 18:47:55,2,2,0,2
2013-08-03 18:48:00,2,2,2,2
2013-08-03 18:48:05,2,2,2,2
2013-08-03 18:48:10,2,2,2,2
2013-08-03 18:48:15,2,2,2,2
2013-08-03 18:48:20,2,2,2,2
2013-08-03 18:48:25,2,2,2,2
2013-08-03 18:48:30,2,0,2,2
2013-08-03 18:48:35,2,0,0,2
2013-08-03 18:48:40,2,2,2,2
2013-08-03 18:48:45,2,2,2,0
2013-08-03 18:48:50,2,0,2,0
2013-08-03 18:48:55,0,0,0,0
