time,christina,charles,jonathan,yvonne
2013-08-03 18:52:55,0,0,0,0
2013-08-03 18:53:00,3,0,0,0
2013-08-03 18:53:05,0,7,0,0
2013-08-03 18:53:10,0,7,0,0
2013-08-03 18:53:15,3,5,0,0
2013-08-03 18:53:20,2,6,0,0
2013-08-03 18:53:25,3,8,0,0
2013-08-03 18:53:30,3,7,0,0
2013-08-03 18:53:35,0,4,0,0
2013-08-03 18:53:40,0,5,0,0
2013-08-03 18:53:45,2,4,0,0
2013-08-03 18:53:50,2,2,0,0
2013-08-03 18:53:55,2,2,0,0
2013-08-03 18:54:00,2,0,0,0
2013-08-03 18:54:05,2,4,0,0
2013-08-03 18:54:10,4,0,0,0
2013-08-03 18:54:15,0,4,0,0
2013-08-03 18:54:20,0,0,0,0
2013-08-03 18:54:25,6,0,0,0
2013-08-03 18:54:30,3,4,7,0
2013-08-03 18:54:35,0,0,4,0
2013-08-03 18:54:40,2,0,0,0
2013-08-03 18:54:45,0,7,0,0
2013-08-03 18:54:50,1,4,0,0
2013-08-03 18:54:55,2,4,0,0
2013-08-03 18:55:00,2,0,4,0
2013-08-03 18:55:05,1,4,0,0
2013-08-03 18:55:10,2,0,0,0
2013-08-03 18:55:15,1,0,0,0
2013-08-03 18:55:20,2,0,0,0
2013-08-03 18:55:25,0,0,0,0
2013-08-03 18:55:30,0,2,0,0
2013-08-03 18:55:35,0,6,0,0
2013-08-03 18:55:40,0,6,0,0
2013-08-03 18:55:45,0,7,2,0
2013-08-03 18:55:50,0,5,0,0
2013-08-03 18:55:55,0,7,0,0
2013-08-03 18:56:00,0,5,0,0
2013-08-03 18:56:05,0,7,0,0
2013-08-03 18:56:10,0,7,0,0
2013-08-03 18:56:15,4,5,0,0
2013-08-03 18:56:20,3,5,0,0
2013-08-03 18:56:25,0,7,0,0
2013-08-03 18:56:30,0,7,0,0
2013-08-03 18:56:35,0,5,0,0
2013-08-03 18:56:40,0,5,0,0
2013-08-03 18:56:45,1,7,0,0
2013-08-03 18:56:50,0,7,2,0
2013-08-03 18:56:55,0,4,0,0
2013-08-03 18:57:00,0,5,0,0
2013-08-03 18:57:05,0,2,0,0
2013-08-03 18:57:10,0,2,0,0
2013-08-03 18:57:15,0,0,0,0
2013-08-03 18:57:20,0,2,0,0
2013-08-03 18:57:25,0,0,0,0
2013-08-03 18:57:30,1,0,0,0
2013-08-03 18:57:35,1,0,0,0
2013-08-03 18:57:40,0,0,0,0
2013-08-03 18:57:45,0,0,0,0
2013-08-03 18:57:50,0,0,0,0
2013-08-03 18:57:55,0,0,2,0
2013-08-03 18:58:00,0,0,0,0
2013-08-03 18:58:05,0,0,0,0
2013-08-03 18:58:10,0,0,0,0
2013-08-03 18:58:15,0,0,0,0
2013-08-03 18:58:20,0,0,0,0
2013-08-03 18:58:25,0,0,0,0
2013-08-03 18:58:30,0,0,0,0
2013-08-03 18:58:35,0,0,0,0
2013-08-03 18:58:40,0,0,0,0
2013-08-03 18:58:45,0,5,0,0
2013-08-03 18:58:50,0,5,0,0
2013-08-03 18:58:55,0,5,0,0
2013-08-03 18:59:00,0,5,2,0
2013-08-03 18:59:05,0,5,0,0
2013-08-03 18:59:10,0,5,0,0
2013-08-03 18:59:15,2,5,2,0
2013-08-03 18:59:20,2,5,2,0
2013-08-03 18:59:25,2,5,0,0
2013-08-03 18:59:30,0,5,0,0
2013-08-03 18:59:35,2,5,6,0
2013-08-03 18:59:40,2,5,0,0
2013-08-03 18:59:45,2,5,4,0
2013-08-03 18:59:50,2,5,6,0
2013-08-03 18:59:55,2,5,6,0
2013-08-03 19:00:00,0,7,5,0
2013-08-03 19:00:05,2,5,4,0
2013-08-03 19:00:10,2,5,6,0
2013-08-03 19:00:15,0,5,6,0
2013-08-03 19:00:20,2,5,6,0
2013-08-03 19:00:25,2,7,5,0
2013-08-03 19:00:30,2,5,6,0
2013-08-03 19:00:35,0,5,6,0
2013-08-03 19:00:40,0,7,7,0
2013-08-03 19:00:45,0,5,6,0
2013-08-03 19:00:50,0,5,6,2
2013-08-03 19:00:55,0,5,6,0
2013-08-03 19:01:00,0,5,6,0
2013-08-03 19:01:05,0,0,6,0
2013-08-03 19:01:10,0,7,6,0
2013-08-03 19:01:15,2,5,6,0
2013-08-03 19:01:20,0,5,6,0
2013-08-03 19:01:25,0,7,6,2
2013-08-03 19:01:30,0,7,6,0
2013-08-03 19:01:35,0,5,6,2
2013-08-03 19:01:40,0,5,6,2
2013-08-03 19:01:45,6,5,6,0
2013-08-03 19:01:50,6,5,6,2
2013-08-03 19:01:55,6,5,6,0
2013-08-03 19:02:00,6,7,6,2
2013-08-03 19:02:05,6,5,6,0
2013-08-03 19:02:10,0,5,6,2
2013-08-03 19:02:15,0,5,6,0
2013-08-03 19:02:20,0,5,5,0
2013-08-03 19:02:25,5,5,7,0
2013-08-03 19:02:30,5,5,7,0
2013-08-03 19:02:35,7,5,4,0
2013-08-03 19:02:40,5,5,7,0
2013-08-03 19:02:45,7,5,0,0
2013-08-03 19:02:50,0,5,0,0
2013-08-03 19:02:55,0,5,0,0
2013-08-03 19:03:00,0,5,0,0
2013-08-03 19:03:05,0,5,0,0
