time,device_id,x_pos,y_pos,velocity
2013-08-03T18:38:11.525770,christina,162.5,75,0
2013-08-03T18:38:12.115007,charles,53.5,89.5,0
2013-08-03T18:38:12.465976,charles,58,88,4.743416
2013-08-03T18:38:12.497806,charles,58,87.5,0.5
2013-08-03T18:38:12.517047,charles,59,87.5,1
2013-08-03T18:38:12.531525,charles,59.5,87,0.7071068
2013-08-03T18:38:12.565615,charles,60.5,87,1
2013-08-03T18:38:12.600907,charles,60.5,86.5,0.5
2013-08-03T18:38:12.616221,charles,61.5,86,1.118034
2013-08-03T18:38:12.633745,charles,62,86,0.5
2013-08-03T18:38:12.649907,charles,62.5,85.5,0.7071068
2013-08-03T18:38:12.683297,charles,62.5,85,0.5
2013-08-03T18:38:12.697752,charles,63,84.5,0.7071068
2013-08-03T18:38:12.717995,charles,63.5,84.5,0.5
2013-08-03T18:38:12.748588,charles,64,84,0.7071068
2013-08-03T18:38:12.767107,charles,64.5,84,0.5
2013-08-03T18:38:12.784172,charles,65,83.5,0.7071068
2013-08-03T18:38:12.833765,charles,65.5,83.5,0.5
2013-08-03T18:38:12.849139,charles,65.5,83,0.5
2013-08-03T18:38:12.865979,charles,66,82.5,0.7071068
2013-08-03T18:38:12.881961,charles,66.5,82.5,0.5
2013-08-03T18:38:12.903516,charles,67,82.5,0.5
2013-08-03T18:38:12.924204,charles,67.5,82.5,0.5
2013-08-03T18:38:12.950292,charles,68,82,0.7071068
2013-08-03T18:38:12.966349,charles,68.5,82,0.5
2013-08-03T18:38:12.999348,charles,69.5,82,1
2013-08-03T18:38:13.032519,charles,70,82,0.5
2013-08-03T18:38:13.067126,charles,70.5,82,0.5
2013-08-03T18:38:13.080745,charles,71,81.5,0.7071068
2013-08-03T18:38:13.114760,charles,71.5,81.5,0.5
2013-08-03T18:38:13.133114,charles,72,81.5,0.5
2013-08-03T18:38:13.147292,charles,72.5,81.5,0.5
2013-08-03T18:38:13.182679,charles,73,81.5,0.5
2013-08-03T18:38:13.198992,charles,74,81.5,1
2013-08-03T18:38:13.231070,charles,75,81.5,1
2013-08-03T18:38:13.282963,charles,75.5,81,0.7071068
2013-08-03T18:38:13.314760,charles,76,81,0.5
2013-08-03T18:38:13.348252,charles,76.5,81,0.5
2013-08-03T18:38:13.400176,charles,77,81,0.5
2013-08-03T18:38:13.415595,christina,243,66,0
2013-08-03T18:38:13.418816,charles,77.5,81,0.5
2013-08-03T18:38:13.465962,charles,78,81,0.5
2013-08-03T18:38:13.484496,charles,78.5,81,0.5
2013-08-03T18:38:13.499234,charles,79,81,0.5
2013-08-03T18:38:13.533835,charles,79.5,81,0.5
2013-08-03T18:38:13.582966,charles,80,81,0.5
2013-08-03T18:38:13.618001,charles,80.5,81,0.5
2013-08-03T18:38:13.634257,charles,81,81,0.5
2013-08-03T18:38:13.670544,charles,81.5,81,0.5
2013-08-03T18:38:13.700250,charles,82,81,0.5
2013-08-03T18:38:13.786705,charles,82.5,81,0.5
2013-08-03T18:38:13.818249,charles,83,81,0.5
2013-08-03T18:38:13.848608,charles,83.5,81,0.5
2013-08-03T18:38:13.917216,charles,84,81,0.5
2013-08-03T18:38:13.951253,charles,84.5,81,0.5
