19.696493, 10.0.1.5, < (/metatone/online) ( 6769FE40-5F64-455B-82D4-814E26986A99)>
21.837981, 10.0.1.5, < (/metatone/switch) ( 6769FE40-5F64-455B-82D4-814E26986A99, loopingOn, NO)>
28.724992, 10.0.1.6, < (/metatone/online) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
29.140573, 10.0.1.6, < (/metatone/switch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, loopingOn, NO)>
29.170209, 10.0.1.3, < (/metatone/online) ( 97F37307-2A95-4796-BAC9-935BF417AC42)>
30.600118, 10.0.1.4, < (/metatone/online) ( 2678456D-9AE7-4DCC-A561-688A4766C325)>
203.895308, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 559.5, 139.5, 0)>
203.989160, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 545, 142.5, 14.80709)>
204.003447, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 539, 142.5, 6)>
204.018604, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 534, 142.5, 5)>
204.035464, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 529.5, 142.5, 4.5)>
204.052540, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 524.5, 142.5, 5)>
204.068289, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 519, 142.5, 5.5)>
204.085408, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 513, 142.5, 6)>
204.105769, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 506, 142.5, 7)>
204.118900, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 497, 142.5, 9)>
204.134917, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 487, 142.5, 10)>
204.152543, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 477.5, 143, 9.513149)>
204.175164, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 468, 143, 9.5)>
204.185512, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 460, 143, 8)>
204.199844, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 452.5, 143.5, 7.516648)>
204.222170, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 446.5, 143.5, 6)>
204.237095, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 440.5, 143.5, 6)>
204.251345, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 434.5, 143.5, 6)>
204.269836, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 429, 143.5, 5.5)>
204.290587, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 422.5, 144, 6.519202)>
204.315308, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 417, 144, 5.5)>
204.323277, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 411, 144.5, 6.020797)>
204.337403, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 404, 145, 7.017834)>
204.354759, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 398, 145.5, 6.020797)>
204.376056, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 392, 146.5, 6.082763)>
204.383897, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 384, 147.5, 8.062258)>
204.406235, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 377.5, 150, 6.964194)>
204.418100, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 370, 151, 7.566373)>
204.435352, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 363, 153, 7.28011)>
204.452503, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 356, 155, 7.28011)>
204.469482, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 348.5, 157.5, 7.905694)>
204.487417, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 340, 159.5, 8.732124)>
204.500168, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 332.5, 162, 7.905694)>
204.523226, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 323, 165.5, 10.12423)>
204.534739, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 315.5, 169, 8.276473)>
204.553847, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 306.5, 172, 9.486833)>
204.570245, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 296, 176.5, 11.42366)>
204.584882, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 287.5, 180, 9.192389)>
204.602555, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 278, 185, 10.73546)>
204.630560, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 269, 189.5, 10.06231)>
204.638953, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 259, 194.5, 11.18034)>
204.653537, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 249, 200, 11.41271)>
204.668605, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 239, 205.5, 11.41271)>
204.687955, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 229, 211, 11.41271)>
204.705361, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 220.5, 217, 10.40433)>
